선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
박찬호,KIA,유격수,80,688.1,0.947,10.16
김태군,KIA,포수,64,404.1,0.836,8.97
김호령,KIA,중견수,40,106.2,0.459,4.93
박정우,KIA,중견수,20,45.0,0.278,2.98
이우성,KIA,좌익수,2,6.0,0.21,2.25
최원준,KIA,중견수,63,427.1,0.205,2.2
박민,KIA,유격수,10,40.0,0.204,2.19
한준수,KIA,포수,66,389.2,0.2,2.14
서건창,KIA,2루수,30,144.0,0.175,1.88
홍종표,KIA,2루수,34,99.0,0.127,1.37
변우혁,KIA,3루수,4,17.0,0.077,0.83
이창진,KIA,중견수,1,5.0,0.05,0.53
김도영,KIA,3루수,87,729.0,0.013,0.14
박정우,KIA,좌익수,3,3.0,-0.002,-0.02
박정우,KIA,우익수,1,9.0,-0.013,-0.14
김선빈,KIA,2루수,68,531.0,-0.018,-0.19
김선빈,KIA,3루수,1,3.0,-0.025,-0.26
소크라테스,KIA,우익수,4,11.0,-0.036,-0.38
황대인,KIA,1루수,2,10.0,-0.045,-0.48
고종욱,KIA,좌익수,7,19.0,-0.047,-0.51
김규성,KIA,유격수,5,11.2,-0.089,-0.95
김규성,KIA,3루수,1,5.0,-0.111,-1.19
변우혁,KIA,1루수,18,106.0,-0.114,-1.22
박민,KIA,2루수,4,28.0,-0.144,-1.54
한승택,KIA,포수,3,8.0,-0.145,-1.56
이창진,KIA,좌익수,33,174.2,-0.149,-1.59
이우성,KIA,우익수,16,105.0,-0.153,-1.64
홍종표,KIA,유격수,10,59.0,-0.17,-1.82
소크라테스,KIA,중견수,31,218.0,-0.22,-2.36
최원준,KIA,우익수,57,233.2,-0.244,-2.62
홍종표,KIA,3루수,11,44.0,-0.256,-2.75
이창진,KIA,우익수,31,156.0,-0.268,-2.88
최형우,KIA,좌익수,13,92.0,-0.43,-4.61
나성범,KIA,우익수,37,287.1,-0.579,-6.22
서건창,KIA,1루수,33,179.0,-0.593,-6.37
이우성,KIA,1루수,64,507.0,-1.162,-12.47
소크라테스,KIA,좌익수,74,507.1,-1.239,-13.3
박민,KIA,3루수,3,4.0,nan,nan
황동하,KIA,nan,15,58.0,nan,nan
정해영,KIA,nan,32,32.0,nan,nan
곽도규,KIA,nan,38,31.0,nan,nan
전상현,KIA,nan,41,39.1,nan,nan
최지민,KIA,nan,42,36.1,nan,nan
김선빈,KIA,유격수,2,3.0,nan,nan
