순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박찬호,KIA,유격수,115,980.1,1.482,16.41
2,김태군,KIA,포수,89,580.2,0.895,9.91
3,김호령,KIA,중견수,49,138.0,0.591,6.55
4,소크라테스,KIA,중견수,47,330.2,0.477,5.28
5,한준수,KIA,포수,90,533.1,0.449,4.97
6,박정우,KIA,좌익수,12,15.1,0.258,2.86
7,김도영,KIA,3루수,121,1004.0,0.194,2.15
8,박민,KIA,유격수,10,40.0,0.191,2.12
9,서건창,KIA,2루수,31,145.0,0.165,1.83
10,변우혁,KIA,3루수,13,61.0,0.054,0.6
11,이창진,KIA,중견수,1,5.0,0.05,0.55
12,이창진,KIA,좌익수,48,267.1,0.02,0.22
13,이우성,KIA,좌익수,5,24.0,0.015,0.16
14,홍종표,KIA,유격수,17,81.0,0.002,0.03
15,박정우,KIA,투수,1,1.0,0.0,0.0
16,홍종표,KIA,좌익수,1,2.0,-0.001,-0.01
17,김규성,KIA,1루수,7,10.0,-0.015,-0.16
18,김도영,KIA,유격수,1,2.0,-0.016,-0.18
19,김선빈,KIA,3루수,2,4.0,-0.024,-0.27
20,소크라테스,KIA,우익수,4,11.0,-0.031,-0.35
21,홍종표,KIA,2루수,57,155.0,-0.033,-0.37
22,고종욱,KIA,좌익수,7,19.0,-0.039,-0.43
23,황대인,KIA,1루수,2,10.0,-0.044,-0.48
24,박정우,KIA,중견수,38,86.1,-0.079,-0.87
25,김규성,KIA,유격수,6,13.2,-0.086,-0.95
26,박정우,KIA,우익수,2,11.0,-0.102,-1.13
27,김규성,KIA,3루수,1,5.0,-0.11,-1.22
28,박민,KIA,2루수,4,28.0,-0.142,-1.57
29,한승택,KIA,포수,7,13.0,-0.15,-1.66
30,이우성,KIA,우익수,19,121.0,-0.158,-1.75
31,김두현,KIA,유격수,1,7.0,-0.165,-1.82
32,최원준,KIA,중견수,84,567.0,-0.193,-2.14
33,최원준,KIA,우익수,86,363.0,-0.194,-2.15
34,홍종표,KIA,3루수,14,49.0,-0.221,-2.45
35,김선빈,KIA,2루수,104,798.0,-0.234,-2.59
36,이창진,KIA,우익수,36,172.0,-0.243,-2.69
37,나성범,KIA,우익수,60,449.0,-0.388,-4.3
38,최형우,KIA,좌익수,15,108.0,-0.402,-4.46
39,변우혁,KIA,1루수,42,249.0,-0.445,-4.93
40,서건창,KIA,1루수,47,254.2,-0.472,-5.22
41,소크라테스,KIA,좌익수,103,691.1,-1.053,-11.66
42,이우성,KIA,1루수,78,601.1,-1.389,-15.39
56,김선빈,KIA,유격수,2,3.0,nan,nan
56,박민,KIA,3루수,3,4.0,nan,nan
56,이형범,KIA,투수,14,15.0,nan,nan
56,정해영,KIA,투수,45,44.0,nan,nan
56,김사윤,KIA,투수,23,37.0,nan,nan
56,곽도규,KIA,투수,59,48.2,nan,nan
56,최지민,KIA,투수,50,41.0,nan,nan
56,최원준,KIA,1루수,1,1.0,nan,nan
56,김규성,KIA,2루수,1,1.0,nan,nan
56,김선빈,KIA,1루수,1,1.0,nan,nan
56,황동하,KIA,투수,22,88.1,nan,nan
56,전상현,KIA,투수,59,59.2,nan,nan
56,김승현,KIA,투수,12,16.0,nan,nan
