Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
1,박찬호,24 SS,0.968,80,78,688.1,339,133,195,11,96.8,4.29,4.69,nan,-0.96,-0.47,nan,nan,nan,nan,3.26,5.79,7.14,10.4,0.303,0.968
2,김태군,24 C,0.834,64,50,404.1,392,356,32,4,99.0,8.64,0.84,nan,-0.01,nan,-0.05,0.09,4.06,nan,4.92,10.58,4.03,8.95,0.458,0.834
3,김호령,24 CF,0.457,40,4,106.2,40,38,0,2,95.0,3.21,5.49,0.25,-0.83,nan,nan,nan,nan,nan,4.91,16.43,0.0,4.91,0.457,0.457
4,박정우,24 CF,0.277,20,1,45.0,12,12,0,0,100.0,2.4,2.75,0.14,0.08,nan,nan,nan,nan,nan,2.98,18.63,0.0,2.98,0.277,0.277
5,이우성,24 LF,0.209,2,1,6.0,4,4,0,0,100.0,6.0,2.27,0.0,0.01,nan,nan,nan,nan,nan,2.28,4.37,-0.03,2.25,0.212,0.209
6,박민,24 SS,0.205,10,4,40.0,25,9,13,3,88.0,4.95,1.17,nan,-0.33,1.07,nan,nan,nan,nan,1.9,17.14,0.3,2.2,0.177,0.205
7,한준수,24 C,0.202,66,39,389.2,364,338,23,3,99.2,8.34,0.5,nan,0.44,nan,0.06,-0.09,-3.0,nan,-2.08,-4.23,4.25,2.16,-0.194,0.202
8,최원준,24 CF,0.201,63,56,427.1,124,119,2,3,97.6,2.55,2.14,0.8,-0.78,nan,nan,nan,nan,nan,2.15,3.65,0.0,2.15,0.201,0.201
9,서건창,24 2B,0.178,30,17,144.0,76,28,47,1,98.7,4.69,0.15,nan,0.59,0.41,nan,nan,nan,nan,1.16,2.56,0.75,1.91,0.108,0.178
10,홍종표,24 2B,0.129,34,3,99.0,65,26,39,0,100.0,5.91,-0.09,nan,0.41,0.76,nan,nan,nan,nan,1.08,2.73,0.31,1.39,0.1,0.129
11,변우혁,24 3B,0.078,4,0,17.0,5,1,4,0,100.0,2.65,0.45,nan,0.07,0.31,nan,nan,nan,nan,0.83,5.0,0.0,0.83,0.078,0.078
12,이창진,24 CF,0.05,1,1,5.0,1,1,0,0,100.0,1.8,0.4,0.12,0.01,nan,nan,nan,nan,nan,0.53,1.08,0.0,0.53,0.05,0.05
13,김도영,24 3B,0.02,87,86,729.0,226,52,154,20,91.2,2.54,3.98,nan,-3.79,-0.03,0.06,nan,nan,nan,0.21,0.36,0.0,0.21,0.02,0.02
14,박정우,24 LF,-0.002,3,0,3.0,0,0,0,0,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,0.02,-0.02,-0.02,0.0,-0.002
15,김선빈,24 2B,-0.011,68,65,531.0,315,127,179,9,97.1,5.19,-0.36,nan,-1.37,-1.08,nan,nan,nan,nan,-2.81,-5.87,2.7,-0.11,-0.262,-0.011
16,박정우,24 RF,-0.013,1,1,9.0,3,3,0,0,100.0,3.0,0.2,-0.33,0.03,nan,nan,nan,nan,nan,-0.1,-0.65,-0.04,-0.14,-0.01,-0.013
