순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김규성,KIA,0.500,11,6,4,4,2,1,0,0,3,2,0,0,2,0,0,2,0,0.750,0.667,1.417,0,0.5,1.0
1,한승택,KIA,0.500,7,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.500,0.667,1.167,0,0.0,0.5
3,김도영,KIA,0.344,120,530,462,117,159,26,6,32,293,92,1,5,58,6,4,100,7,0.634,0.418,1.052,48,0.319,0.5
4,한준수,KIA,0.309,97,275,249,33,77,20,0,5,112,35,0,6,18,1,2,42,6,0.450,0.353,0.803,14,0.277,0.36
5,변우혁,KIA,0.308,54,145,133,18,41,8,2,4,65,15,0,1,9,0,2,40,7,0.489,0.359,0.848,12,0.275,0.333
6,이우성,KIA,0.306,91,374,333,52,102,13,1,8,141,49,0,2,36,0,3,69,12,0.423,0.377,0.800,25,0.308,1.0
7,소크라테스,KIA,0.305,122,526,479,80,146,26,3,23,247,84,0,5,38,4,4,82,6,0.516,0.357,0.873,43,0.333,0.0
8,김선빈,KIA,0.299,101,404,364,41,109,17,0,8,150,46,5,0,29,0,5,37,13,0.412,0.359,0.771,32,0.315,0.5
9,홍종표,KIA,0.299,86,107,97,23,29,4,3,0,39,10,3,0,6,0,1,28,0,0.402,0.346,0.748,5,0.31,0.4
10,박찬호,KIA,0.299,113,485,435,67,130,19,1,2,157,47,6,6,37,1,1,37,7,0.361,0.351,0.712,40,0.341,0.5
11,고종욱,KIA,0.292,22,27,24,3,7,2,0,1,12,4,0,0,3,0,0,4,2,0.500,0.370,0.870,0,0.222,0.4
12,최원준,KIA,0.289,117,448,388,66,112,21,3,8,163,51,6,2,44,0,8,61,6,0.420,0.371,0.791,32,0.304,0.333
13,나성범,KIA,0.287,90,378,334,42,96,16,1,17,165,71,0,6,34,1,3,88,7,0.494,0.353,0.847,29,0.296,0.0
14,황대인,KIA,0.286,3,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0.429,0.286,0.715,1,0.333,0.0
15,최형우,KIA,0.281,100,422,370,60,104,21,2,20,189,95,0,3,44,4,5,73,4,0.511,0.363,0.874,29,0.333,0.5
16,박정우,KIA,0.278,51,39,36,10,10,3,1,0,15,7,0,0,3,0,0,5,2,0.417,0.333,0.750,1,0.385,0.5
16,서건창,KIA,0.278,81,223,180,35,50,11,1,1,66,20,3,2,35,0,3,27,2,0.367,0.400,0.767,8,0.309,0.235
18,박민,KIA,0.276,16,30,29,5,8,4,0,0,12,2,0,0,1,0,0,7,0,0.414,0.300,0.714,2,0.3,1.0
19,김태군,KIA,0.274,89,238,208,22,57,6,0,7,84,32,9,0,11,0,10,22,12,0.404,0.341,0.745,14,0.246,0.25
20,이창진,KIA,0.260,92,224,169,32,44,8,0,1,55,13,5,4,44,0,2,32,5,0.325,0.411,0.736,10,0.146,0.429
21,예진원,KIA,0.211,22,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0.263,0.286,0.549,0,0.0,0.0
22,김호령,KIA,0.143,48,47,42,6,6,1,0,1,10,3,0,0,5,0,0,20,1,0.238,0.234,0.472,0,0.231,0.25
23,곽도규,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,김두현,KIA,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
23,김사윤,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,김승현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이형범,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,전상현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,정해영,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,최지민,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,황동하,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
