순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김규성,KIA,0.500,1,0,0,-,0,1.00,5.17,0.250,1.7,0.488
1,한승택,KIA,0.500,0,0,1,0.00,0,-,4.67,0.000,0.8,0.425
3,김도영,KIA,0.344,64,90,118,0.76,11,0.58,3.85,0.290,115.3,0.347
4,한준수,KIA,0.309,25,58,78,0.74,0,0.43,3.69,0.141,38.5,0.271
5,변우혁,KIA,0.308,14,23,30,0.77,1,0.23,3.59,0.180,20.2,0.284
6,이우성,KIA,0.306,22,97,67,1.45,5,0.52,3.98,0.117,51.1,0.275
7,소크라테스,KIA,0.305,52,107,149,0.72,5,0.46,3.69,0.211,85.6,0.29
8,김선빈,KIA,0.299,25,122,96,1.27,3,0.78,3.88,0.113,50.0,0.265
9,홍종표,KIA,0.299,7,26,14,1.86,0,0.21,3.59,0.103,13.1,0.256
10,박찬호,KIA,0.299,22,143,131,1.09,6,1.00,3.78,0.062,55.7,0.248
11,고종욱,KIA,0.292,3,10,3,3.33,1,0.75,3.59,0.208,3.6,0.292
12,최원준,KIA,0.289,32,118,99,1.19,8,0.72,4.03,0.131,62.1,0.272
13,나성범,KIA,0.287,34,82,74,1.11,9,0.39,3.88,0.207,58.0,0.282
14,황대인,KIA,0.286,1,3,1,3.00,0,0.00,3.14,0.143,0.8,0.236
15,최형우,KIA,0.281,43,90,106,0.85,11,0.60,4.07,0.230,67.8,0.291
16,박정우,KIA,0.278,4,16,5,3.20,1,0.60,3.97,0.139,4.1,0.254
16,서건창,KIA,0.278,13,46,59,0.78,2,1.30,4.16,0.089,30.2,0.272
18,박민,KIA,0.276,4,4,10,0.40,0,0.14,3.47,0.138,3.0,0.239
19,김태군,KIA,0.274,13,76,53,1.43,3,0.50,3.42,0.130,25.7,0.254
20,이창진,KIA,0.260,9,47,50,0.94,1,1.38,4.04,0.065,28.4,0.266
21,예진원,KIA,0.211,1,6,1,6.00,0,0.25,3.86,0.053,1.1,0.194
22,김호령,KIA,0.143,2,8,8,1.00,0,0.25,4.47,0.095,2.3,0.165
23,곽도규,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김두현,KIA,0.000,0,0,2,0.00,0,-,3.00,0.000,-0.2,0.0
23,김사윤,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김승현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이형범,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
23,전상현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
23,정해영,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
23,최지민,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
23,황동하,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
