순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,김도영,KIA,3루수,87,86,729,20,0,52,154,17,0.912,0,0,0,-
2,박찬호,KIA,유격수,80,78,688 1/3,11,0,133,195,49,0.968,0,0,0,-
3,소크라테스,KIA,좌익수,74,57,507 1/3,2,0,112,4,1,0.983,0,0,0,-
4,김선빈,KIA,2루수,68,65,531,9,0,126,180,43,0.971,0,0,0,-
5,한준수,KIA,포수,66,39,389 2/3,3,1,338,23,6,0.992,5,36,6,14.3
6,김태군,KIA,포수,64,50,404 1/3,4,0,356,32,4,0.990,3,40,10,20.0
6,이우성,KIA,1루수,64,58,507,4,0,472,29,51,0.992,0,0,0,-
8,최원준,KIA,중견수,63,56,427 1/3,3,0,119,2,1,0.976,0,0,0,-
9,최원준,KIA,우익수,57,15,233 2/3,0,0,40,1,0,1.000,0,0,0,-
10,장현식,KIA,투수,49,0,47,0,1,3,10,0,1.000,0,0,0,-
11,최지민,KIA,투수,45,0,36 1/3,1,0,2,4,1,0.857,0,0,0,-
12,곽도규,KIA,투수,42,0,31,2,0,1,2,0,0.600,0,0,0,-
13,전상현,KIA,투수,41,0,39 1/3,0,0,1,6,0,1.000,0,0,0,-
14,김호령,KIA,중견수,40,4,106 2/3,2,0,38,0,0,0.950,0,0,0,-
15,나성범,KIA,우익수,37,37,287 1/3,1,0,43,3,1,0.979,0,0,0,-
16,홍종표,KIA,2루수,34,3,99,0,0,26,39,12,1.000,0,0,0,-
17,서건창,KIA,1루수,33,16,179,3,0,160,19,15,0.984,0,0,0,-
17,이창진,KIA,좌익수,33,17,174 2/3,0,0,43,0,0,1.000,0,0,0,-
19,소크라테스,KIA,중견수,32,27,218,1,0,55,2,0,0.983,0,0,0,-
19,정해영,KIA,투수,32,0,32,0,0,2,2,1,1.000,0,0,0,-
21,이준영,KIA,투수,31,0,18 2/3,0,0,1,2,0,1.000,0,0,0,-
21,이창진,KIA,우익수,31,21,156,1,0,30,0,0,0.968,0,0,0,-
23,서건창,KIA,2루수,30,17,144,1,0,28,47,10,0.987,0,0,0,-
24,김도현,KIA,투수,24,0,29,1,1,1,6,0,0.875,0,0,0,-
25,김건국,KIA,투수,20,3,34 1/3,0,1,0,2,0,1.000,0,0,0,-
25,박정우,KIA,중견수,20,1,45,0,0,12,0,0,1.000,0,0,0,-
27,김사윤,KIA,투수,19,2,31 1/3,1,0,0,6,1,0.857,0,0,0,-
27,네일,KIA,투수,19,19,112 2/3,3,0,6,24,4,0.909,0,0,0,-
29,김대유,KIA,투수,18,0,14,0,0,0,0,0,-,0,0,0,-
29,변우혁,KIA,1루수,18,13,106,1,0,93,2,12,0.990,0,0,0,-
31,양현종,KIA,투수,17,17,101 2/3,0,0,5,11,0,1.000,0,0,0,-
32,윤영철,KIA,투수,16,16,75 1/3,1,0,2,15,2,0.944,0,0,0,-
32,이우성,KIA,우익수,16,14,105,2,0,23,0,0,0.920,0,0,0,-
34,황동하,KIA,투수,15,11,58,0,1,1,10,1,1.000,0,0,0,-
35,임기영,KIA,투수,14,3,24,0,0,0,4,0,1.000,0,0,0,-
36,최형우,KIA,좌익수,13,12,92,1,0,10,0,0,0.909,0,0,0,-
37,예진원,KIA,중견수,11,1,23,0,0,6,0,0,1.000,0,0,0,-
37,홍종표,KIA,3루수,11,3,44,1,0,2,5,0,0.875,0,0,0,-
39,박민,KIA,유격수,10,4,40,3,0,9,13,4,0.880,0,0,0,-
39,윤중현,KIA,투수,10,0,9 1/3,0,0,1,1,1,1.000,0,0,0,-
39,홍종표,KIA,유격수,10,7,59,2,0,11,18,4,0.935,0,0,0,-
42,이형범,KIA,투수,8,0,8 1/3,0,0,3,0,1,1.000,0,0,0,-
42,크로우,KIA,투수,8,8,40 1/3,1,0,2,9,0,0.917,0,0,0,-
44,고종욱,KIA,좌익수,7,2,19,0,0,3,0,0,1.000,0,0,0,-
45,알드레드,KIA,투수,6,6,31 1/3,0,0,4,5,0,1.000,0,0,0,-
45,예진원,KIA,좌익수,6,1,19,0,0,7,0,0,1.000,0,0,0,-
47,김규성,KIA,유격수,5,0,11 2/3,1,0,4,3,0,0.875,0,0,0,-
47,예진원,KIA,우익수,5,1,16 2/3,0,0,9,0,0,1.000,0,0,0,-
49,김승현,KIA,투수,4,0,4 1/3,0,0,0,1,0,1.000,0,0,0,-
49,김현수,KIA,투수,4,0,4 1/3,0,0,0,0,0,-,0,0,0,-
49,박민,KIA,2루수,4,4,28,3,0,1,10,3,0.786,0,0,0,-
49,박정우,KIA,좌익수,4,0,3,0,0,0,0,0,-,0,0,0,-
49,박준표,KIA,투수,4,0,2,0,0,0,0,0,-,0,0,0,-
49,변우혁,KIA,3루수,4,0,17,0,0,1,4,1,1.000,0,0,0,-
49,소크라테스,KIA,우익수,4,1,11,1,0,4,0,0,0.800,0,0,0,-
49,이의리,KIA,투수,4,4,13 1/3,1,0,1,2,1,0.750,0,0,0,-
57,박민,KIA,3루수,3,0,4,0,0,0,0,0,-,0,0,0,-
57,한승택,KIA,포수,3,0,8,1,0,8,1,0,0.900,0,0,0,-
59,김민재,KIA,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
59,김선빈,KIA,유격수,2,0,3,0,0,1,2,0,1.000,0,0,0,-
