순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,김도영,KIA,109,36,33,3,91.7,4,1
2,최원준,KIA,107,25,17,8,68.0,2,1
3,박찬호,KIA,102,25,15,10,60.0,2,1
4,소크라테스,KIA,111,13,10,3,76.9,7,1
5,이우성,KIA,80,7,6,1,85.7,5,0
6,김선빈,KIA,90,4,3,1,75.0,1,0
6,서건창,KIA,80,4,3,1,75.0,4,0
6,이창진,KIA,87,4,3,1,75.0,1,0
9,김호령,KIA,43,3,2,1,66.7,1,0
9,홍종표,KIA,76,4,2,2,50.0,0,0
11,변우혁,KIA,44,1,1,0,100,0,0
11,최형우,KIA,99,2,1,1,50.0,1,0
13,고종욱,KIA,22,0,0,0,-,0,0
13,곽도규,KIA,1,0,0,0,-,0,0
13,김규성,KIA,6,0,0,0,-,0,0
13,김두현,KIA,1,0,0,0,-,0,0
13,김승현,KIA,1,0,0,0,-,0,0
13,김태군,KIA,79,0,0,0,-,2,0
13,나성범,KIA,79,0,0,0,-,0,0
13,박민,KIA,16,1,0,1,0.0,0,0
13,박정우,KIA,42,0,0,0,-,1,0
13,예진원,KIA,22,0,0,0,-,0,0
13,이형범,KIA,1,0,0,0,-,0,0
13,전상현,KIA,1,0,0,0,-,0,0
13,정해영,KIA,1,0,0,0,-,0,0
13,최지민,KIA,1,0,0,0,-,0,0
13,한승택,KIA,4,0,0,0,-,0,0
13,한준수,KIA,89,0,0,0,-,1,0
13,황대인,KIA,3,0,0,0,-,0,0
13,황동하,KIA,1,0,0,0,-,0,0
