순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1.0,장성우,KT,포수,73,536.1,1.005,10.82
2.0,김상수,KT,유격수,72,552.2,0.803,8.64
3.0,문상철,KT,1루수,50,378.2,0.597,6.43
4.0,오윤석,KT,2루수,44,294.0,0.511,5.49
5.0,신본기,KT,유격수,42,197.1,0.405,4.36
6.0,로하스,KT,좌익수,63,461.1,0.335,3.61
7.0,정준영,KT,우익수,24,131.1,0.226,2.43
8.0,조용호,KT,우익수,45,271.0,0.195,2.1
9.0,김병준,KT,중견수,16,41.0,0.162,1.74
10.0,이호연,KT,3루수,10,42.0,0.14,1.51
11.0,홍현빈,KT,좌익수,8,16.2,0.1,1.08
12.0,장준원,KT,유격수,11,34.0,0.086,0.92
13.0,천성호,KT,3루수,3,11.0,0.081,0.88
14.0,황재균,KT,3루수,87,692.1,0.079,0.85
15.0,박민석,KT,2루수,2,6.0,0.054,0.58
16.0,안치영,KT,중견수,14,91.0,0.052,0.56
17.0,김준태,KT,포수,18,57.1,0.047,0.51
18.0,조대현,KT,포수,8,24.0,0.042,0.45
19.0,김상수,KT,2루수,1,5.0,0.028,0.31
20.0,강현우,KT,포수,13,58.0,0.022,0.24
21.0,장준원,KT,3루수,4,23.0,0.015,0.16
22.0,송민섭,KT,중견수,2,5.0,0.013,0.14
23.0,로하스,KT,우익수,33,230.2,0.011,0.12
24.0,권동진,KT,2루수,2,5.0,0.01,0.11
25.0,로하스,KT,중견수,6,27.0,0.008,0.08
26.0,심우준,KT,유격수,2,11.0,0.006,0.07
26.0,오윤석,KT,1루수,4,6.0,0.006,0.06
28.0,안치영,KT,좌익수,3,4.0,0.005,0.06
29.0,정준영,KT,중견수,2,7.0,0.003,0.03
30.0,이호연,KT,1루수,1,2.0,-0.001,-0.01
31.0,박병호,KT,1루수,32,227.1,-0.016,-0.17
32.0,윤준혁,KT,3루수,3,8.0,-0.028,-0.3
33.0,안치영,KT,우익수,13,30.0,-0.035,-0.38
34.0,오윤석,KT,3루수,7,22.0,-0.041,-0.44
34.0,박경수,KT,2루수,3,3.1,-0.041,-0.45
36.0,신본기,KT,3루수,5,9.0,-0.049,-0.53
37.0,김병준,KT,우익수,4,8.0,-0.056,-0.6
37.0,정준영,KT,좌익수,5,12.0,-0.056,-0.6
39.0,김건형,KT,우익수,12,66.0,-0.06,-0.65
40.0,김민혁,KT,우익수,5,16.1,-0.07,-0.75
41.0,박민석,KT,유격수,4,7.1,-0.084,-0.9
42.0,김민혁,KT,좌익수,32,216.2,-0.113,-1.21
43.0,안현민,KT,좌익수,8,40.0,-0.141,-1.52
44.0,홍현빈,KT,중견수,7,22.0,-0.145,-1.56
45.0,이호연,KT,2루수,7,14.0,-0.149,-1.61
46.0,강백호,KT,포수,20,131.2,-0.159,-1.71
47.0,강백호,KT,우익수,5,24.0,-0.166,-1.78
48.0,김민혁,KT,중견수,14,105.1,-0.195,-2.1
49.0,신본기,KT,2루수,22,76.2,-0.237,-2.55
50.0,홍현빈,KT,우익수,13,26.0,-0.263,-2.83
51.0,조용호,KT,좌익수,11,52.2,-0.453,-4.88
52.0,오재일,KT,1루수,24,192.1,-0.504,-5.43
53.0,배정대,KT,중견수,60,509.0,-0.588,-6.32
54.0,천성호,KT,2루수,55,403.1,-0.919,-9.89
nan,박시영,KT,nan,22,23.1,nan,nan
nan,손동현,KT,nan,29,32.1,nan,nan
nan,송민섭,KT,우익수,3,4.0,nan,nan
nan,이선우,KT,nan,6,10.0,nan,nan
nan,주권,KT,nan,34,43.2,nan,nan
nan,성재헌,KT,nan,20,23.1,nan,nan
nan,김병준,KT,좌익수,3,4.0,nan,nan
nan,황재균,KT,유격수,4,5.0,nan,nan
nan,김민,KT,nan,41,47.1,nan,nan
nan,박영현,KT,nan,39,46.0,nan,nan
nan,황재균,KT,1루수,1,1.0,nan,nan
nan,우규민,KT,nan,23,23.0,nan,nan
nan,강건,KT,nan,4,4.0,nan,nan
