순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,박경수,KT,0.667,5,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,1.0,0.667,1.667,0,1.0,0.5
2,조대현,KT,0.345,18,35,29,2,10,2,0,0,12,2,3,0,3,0,0,11,1,0.414,0.406,0.82,2,0.143,0.0
3,김민혁,KT,0.339,94,314,280,33,95,12,1,1,112,27,2,2,29,1,1,40,8,0.4,0.401,0.801,27,0.286,0.25
4,로하스,KT,0.326,123,570,488,90,159,34,0,28,277,93,0,3,73,8,6,99,10,0.568,0.418,0.986,46,0.298,0.0
5,강현우,KT,0.308,18,36,26,4,8,1,0,1,12,8,2,0,8,0,0,10,0,0.462,0.471,0.933,2,0.286,0.0
6,천성호,KT,0.296,73,254,233,40,69,8,3,1,86,17,1,1,18,0,1,43,5,0.369,0.348,0.717,18,0.353,0.222
7,강백호,KT,0.286,123,535,482,77,138,21,0,25,234,86,0,2,48,3,3,114,6,0.485,0.353,0.838,39,0.273,0.143
8,신본기,KT,0.281,75,144,114,17,32,3,0,3,44,19,9,2,16,0,3,27,3,0.386,0.378,0.764,4,0.244,0.5
9,안현민,KT,0.278,9,21,18,4,5,0,1,1,10,2,0,1,1,0,1,6,0,0.556,0.333,0.889,1,0.0,0.0
10,김상수,KT,0.277,100,375,328,51,91,13,3,4,122,41,7,1,33,0,6,51,11,0.372,0.353,0.725,20,0.306,0.5
11,배정대,KT,0.276,92,387,330,42,91,21,1,6,132,45,6,7,41,1,3,86,3,0.4,0.354,0.754,23,0.295,1.0
12,김병준,KT,0.273,25,13,11,7,3,0,0,0,3,0,0,0,2,0,0,2,0,0.273,0.385,0.658,1,0.0,0.0
13,황재균,KT,0.265,119,462,426,52,113,22,0,10,165,51,5,1,29,0,1,82,11,0.387,0.313,0.7,31,0.245,0.2
14,장성우,KT,0.265,111,401,347,38,92,15,0,14,149,60,1,4,49,1,0,72,6,0.429,0.353,0.782,25,0.257,0.133
15,오윤석,KT,0.258,54,145,124,21,32,6,2,3,51,16,2,2,16,0,1,30,7,0.411,0.343,0.754,8,0.125,0.333
16,심우준,KT,0.252,33,120,103,11,26,1,0,2,33,18,3,0,14,0,0,20,3,0.32,0.342,0.662,7,0.419,0.0
17,안치영,KT,0.25,31,48,44,12,11,0,0,0,11,3,2,0,2,0,0,12,0,0.25,0.283,0.533,2,0.182,0.0
18,조용호,KT,0.248,60,165,149,17,37,5,0,0,42,13,3,0,13,0,0,25,5,0.282,0.309,0.591,8,0.286,0.25
