순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,박경수,KT,0.667,1,0,0,-,0,0.00,3.67,0.333,1.1,0.55
2,조대현,KT,0.500,0,0,1,0.00,0,1.50,4.00,0.000,2.3,0.425
3,권동진,KT,0.400,0,1,1,1.00,0,1.00,4.50,0.000,1.1,0.325
4,심우준,KT,0.333,0,3,2,1.50,1,0.33,4.46,0.000,2.0,0.257
5,로하스,KT,0.330,49,73,96,0.76,9,0.75,4.04,0.259,84.9,0.34
6,강현우,KT,0.318,2,4,2,2.00,1,0.89,4.00,0.182,6.0,0.35
7,강백호,KT,0.303,41,93,86,1.08,6,0.46,4.02,0.231,71.2,0.299
8,천성호,KT,0.295,12,73,39,1.87,2,0.43,3.61,0.081,27.3,0.25
9,김민혁,KT,0.294,6,71,32,2.22,1,0.80,3.65,0.039,22.1,0.248
10,신본기,KT,0.292,6,24,20,1.20,0,0.76,3.78,0.135,17.4,0.291
11,배정대,KT,0.279,22,51,69,0.74,0,0.50,3.84,0.144,36.7,0.264
12,안현민,KT,0.278,2,6,2,3.00,0,0.17,3.62,0.278,3.8,0.289
13,김병준,KT,0.273,0,3,3,1.00,0,1.00,3.92,0.000,1.4,0.242
14,김상수,KT,0.270,16,60,74,0.81,2,0.53,3.84,0.110,29.4,0.248
15,장성우,KT,0.270,22,59,81,0.73,8,0.75,4.15,0.160,43.4,0.272
16,문상철,KT,0.260,16,49,66,0.74,2,0.48,4.07,0.170,37.1,0.266
17,박민석,KT,0.250,0,0,1,0.00,0,0.00,4.50,0.000,-0.1,0.175
17,안치영,KT,0.250,0,10,11,0.91,0,0.17,4.13,0.000,2.9,0.19
19,오윤석,KT,0.248,10,39,24,1.63,2,0.47,3.96,0.140,14.9,0.244
20,조용호,KT,0.243,4,43,36,1.19,1,0.46,3.79,0.029,10.5,0.203
21,황재균,KT,0.241,20,77,99,0.78,2,0.39,3.87,0.094,31.4,0.219
22,김준태,KT,0.240,2,6,7,0.86,0,0.83,3.80,0.080,3.4,0.245
23,홍현빈,KT,0.235,1,4,3,1.33,1,0.50,4.43,0.118,2.4,0.246
24,오재일,KT,0.225,19,30,50,0.60,2,0.34,3.87,0.197,22.9,0.242
25,정준영,KT,0.212,1,19,8,2.38,0,0.57,4.15,0.019,4.3,0.2
26,이호연,KT,0.152,1,7,13,0.54,0,0.13,3.86,0.030,-0.2,0.125
27,윤준혁,KT,0.143,0,1,1,1.00,0,0.00,3.29,0.000,-0.1,0.1
28,김건형,KT,0.125,1,8,5,1.60,0,0.13,4.16,0.042,0.1,0.114
29,장준원,KT,0.071,0,4,4,1.00,0,0.80,4.39,0.000,0.7,0.143
30,강건,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
30,김민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
30,박시영,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
30,박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
30,성재헌,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
30,손동현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
30,송민섭,KT,0.000,0,0,1,0.00,0,-,4.00,0.000,-0.4,0.0
30,우규민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
30,이선우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
30,주권,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
