순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박동원,LG,포수,113,863.2,1.827,20.39
2,홍창기,LG,우익수,116,955.0,1.27,14.17
3,오지환,LG,유격수,96,777.0,1.097,12.24
4,구본혁,LG,3루수,55,244.0,0.827,9.23
5,박해민,LG,중견수,130,1032.0,0.736,8.21
6,구본혁,LG,2루수,33,208.0,0.444,4.96
7,문성주,LG,좌익수,59,428.0,0.37,4.13
8,최승민,LG,좌익수,15,24.0,0.246,2.74
9,안익훈,LG,중견수,5,24.0,0.235,2.63
10,김주성,LG,3루수,5,14.0,0.162,1.8
11,안익훈,LG,좌익수,24,92.0,0.113,1.26
12,이영빈,LG,유격수,2,3.0,0.106,1.18
13,김민수,LG,3루수,3,8.0,0.099,1.11
14,최원영,LG,중견수,11,34.0,0.078,0.87
15,안익훈,LG,우익수,4,14.0,0.072,0.8
16,문성주,LG,우익수,24,132.0,0.055,0.61
17,문성주,LG,중견수,1,2.0,0.035,0.39
18,김현종,LG,중견수,4,9.0,0.015,0.16
19,김현종,LG,우익수,1,3.0,0.011,0.12
20,신민재,LG,좌익수,1,3.0,0.009,0.1
21,정우영,LG,투수,24,20.1,0.0,0.0
21,백승현,LG,투수,28,21.2,0.0,0.0
23,김현종,LG,좌익수,4,5.0,-0.001,-0.01
24,김성진,LG,1루수,4,4.0,-0.002,-0.03
25,김범석,LG,1루수,20,107.0,-0.003,-0.03
26,함창건,LG,좌익수,4,21.0,-0.011,-0.12
27,김태우,LG,2루수,2,4.0,-0.016,-0.18
28,송찬의,LG,좌익수,3,17.0,-0.025,-0.28
29,김현수,LG,1루수,7,11.0,-0.027,-0.3
30,최명경,LG,3루수,1,6.0,-0.043,-0.48
31,최원영,LG,우익수,11,24.0,-0.046,-0.51
32,김민수,LG,1루수,2,4.0,-0.061,-0.69
33,김주성,LG,유격수,5,14.0,-0.07,-0.78
34,문보경,LG,1루수,50,178.0,-0.09,-1.0
35,김민수,LG,유격수,3,11.0,-0.092,-1.03
36,최승민,LG,우익수,6,10.0,-0.099,-1.11
37,김범석,LG,포수,12,45.1,-0.106,-1.18
38,손호영,LG,3루수,1,3.0,-0.114,-1.27
39,홍창기,LG,중견수,12,61.0,-0.115,-1.29
40,최원영,LG,좌익수,16,41.0,-0.116,-1.3
41,김성우,LG,포수,4,16.0,-0.151,-1.69
42,이영빈,LG,우익수,3,22.0,-0.159,-1.78
43,구본혁,LG,유격수,52,357.0,-0.168,-1.87
44,허도환,LG,포수,52,232.0,-0.187,-2.09
45,이영빈,LG,1루수,7,32.0,-0.352,-3.92
46,신민재,LG,2루수,118,948.0,-0.561,-6.26
47,오스틴,LG,1루수,101,826.0,-0.615,-6.86
48,김현수,LG,좌익수,73,531.0,-0.646,-7.21
49,문보경,LG,3루수,118,885.0,-0.72,-8.03
65,김영준,LG,투수,14,15.1,nan,nan
65,김대원,LG,2루수,1,1.0,nan,nan
65,김유영,LG,투수,48,44.1,nan,nan
65,김진성,LG,투수,63,62.0,nan,nan
65,최동환,LG,투수,26,22.0,nan,nan
65,이종준,LG,투수,21,21.1,nan,nan
65,함창건,LG,우익수,2,2.0,nan,nan
65,김민수,LG,2루수,1,1.0,nan,nan
65,박명근,LG,투수,30,25.1,nan,nan
65,진우영,LG,투수,6,7.2,nan,nan
65,김대현,LG,투수,33,33.0,nan,nan
65,김태우,LG,3루수,1,2.0,nan,nan
65,전준호,LG,포수,3,5.0,nan,nan
65,이지강,LG,투수,39,47.0,nan,nan
65,유영찬,LG,투수,53,56.0,nan,nan
