순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김주원,NC,유격수,118,905.2,2.506,27.96
2,박민우,NC,2루수,89,710.1,1.177,13.13
3,김형준,NC,포수,106,795.1,0.912,10.18
4,김휘집,NC,3루수,41,294.2,0.555,6.19
5,손아섭,NC,우익수,20,130.2,0.501,5.59
6,최정원,NC,중견수,30,135.1,0.407,4.54
7,권희동,NC,좌익수,110,804.2,0.29,3.23
8,서호철,NC,2루수,30,177.0,0.235,2.62
9,도태훈,NC,2루수,25,123.0,0.183,2.04
10,송승환,NC,우익수,2,9.0,0.165,1.84
11,김휘집,NC,1루수,11,77.0,0.144,1.6
12,권희동,NC,중견수,7,38.0,0.114,1.27
12,한석현,NC,좌익수,7,11.2,0.114,1.27
14,박시원,NC,중견수,24,163.1,0.108,1.2
15,오영수,NC,1루수,10,49.2,0.099,1.11
16,서호철,NC,3루수,100,790.0,0.078,0.87
17,도태훈,NC,3루수,15,47.2,0.061,0.68
18,김한별,NC,2루수,12,17.2,0.049,0.54
19,천재환,NC,중견수,16,76.0,0.031,0.35
20,박세혁,NC,포수,68,339.1,0.03,0.33
21,김수윤,NC,1루수,5,22.0,0.026,0.29
22,김세훈,NC,2루수,2,8.0,0.023,0.26
23,신용석,NC,포수,1,3.0,0.003,0.03
24,도태훈,NC,1루수,51,172.2,-0.041,-0.45
25,김수윤,NC,3루수,2,4.0,-0.049,-0.54
26,손아섭,NC,좌익수,9,65.0,-0.061,-0.68
27,최정원,NC,좌익수,2,3.0,-0.063,-0.71
28,김성욱,NC,좌익수,16,42.1,-0.07,-0.78
29,김세훈,NC,유격수,5,8.1,-0.074,-0.82
30,김성욱,NC,중견수,94,682.0,-0.082,-0.92
31,김한별,NC,유격수,17,65.0,-0.115,-1.29
32,박영빈,NC,중견수,2,2.0,-0.116,-1.29
33,박영빈,NC,좌익수,9,16.0,-0.145,-1.61
34,박건우,NC,중견수,3,15.0,-0.168,-1.87
35,한석현,NC,우익수,16,55.1,-0.169,-1.88
36,천재환,NC,좌익수,20,81.2,-0.172,-1.92
37,김성욱,NC,우익수,20,59.0,-0.184,-2.05
38,권희동,NC,우익수,7,42.1,-0.207,-2.3
39,김휘집,NC,유격수,23,157.2,-0.255,-2.85
40,한석현,NC,중견수,5,26.0,-0.259,-2.89
41,박시원,NC,우익수,16,92.0,-0.262,-2.92
42,최정원,NC,2루수,19,100.2,-0.311,-3.47
43,박한결,NC,좌익수,21,110.1,-0.332,-3.7
44,박건우,NC,우익수,68,522.0,-0.542,-6.05
45,천재환,NC,우익수,45,227.1,-0.635,-7.08
46,데이비슨,NC,1루수,100,816.1,-1.144,-12.76
56,송명기,NC,투수,29,34.1,nan,nan
56,류진욱,NC,투수,42,35.0,nan,nan
56,김재열,NC,투수,62,62.2,nan,nan
56,김영규,NC,투수,42,45.2,nan,nan
56,김한별,NC,3루수,2,1.1,nan,nan
56,한재승,NC,투수,45,41.2,nan,nan
56,김수윤,NC,2루수,1,1.0,nan,nan
56,도태훈,NC,유격수,1,1.0,nan,nan
56,김범준,NC,좌익수,2,3.0,nan,nan
