순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,박영빈,NC,0.500,19,7,6,3,3,2,0,0,5,1,0,0,1,0,0,3,0,0.833,0.571,1.404,0,0.0,0.0
1,안중열,NC,0.500,4,6,4,2,2,1,0,1,6,1,0,0,2,0,0,2,0,1.500,0.667,2.167,0,0.0,0.0
3,박건우,NC,0.344,89,362,323,58,111,23,1,13,175,53,0,2,33,3,4,54,7,0.542,0.409,0.951,33,0.375,1.0
4,박민우,NC,0.329,115,512,444,75,146,25,2,8,199,49,4,4,51,4,9,78,4,0.448,0.406,0.854,42,0.31,0.0
5,김한별,NC,0.306,35,42,36,8,11,1,0,0,12,2,0,0,2,0,4,9,1,0.333,0.405,0.738,1,0.333,0.333
6,데이비슨,NC,0.301,126,552,489,89,147,21,1,46,308,119,0,7,39,5,17,137,12,0.630,0.368,0.998,42,0.261,0.0
7,권희동,NC,0.300,123,511,416,66,125,22,1,13,188,77,2,6,77,1,10,63,10,0.452,0.417,0.869,31,0.391,1.0
8,천재환,NC,0.293,82,212,191,28,56,9,1,4,79,31,3,1,13,0,4,46,7,0.414,0.349,0.763,14,0.348,0.222
9,손아섭,NC,0.291,79,348,326,45,95,16,0,7,132,50,2,4,16,0,0,62,1,0.405,0.321,0.726,22,0.277,0.333
10,서호철,NC,0.284,134,540,486,64,138,17,3,10,191,58,6,2,30,0,16,96,15,0.393,0.345,0.738,37,0.246,0.0
11,한석현,NC,0.271,34,62,59,9,16,3,1,0,21,3,0,0,2,0,1,15,2,0.356,0.306,0.662,5,0.1,0.333
12,김휘집,NC,0.265,133,535,468,76,124,24,1,16,198,72,4,7,47,1,9,114,16,0.423,0.339,0.762,33,0.296,0.0
13,박세혁,NC,0.264,81,171,148,21,39,9,0,1,51,10,5,1,14,0,3,43,3,0.345,0.337,0.682,8,0.114,0.313
14,최정원,NC,0.255,59,133,110,30,28,3,0,0,31,12,1,2,17,0,3,28,1,0.282,0.364,0.646,6,0.275,0.25
15,김주원,NC,0.253,129,452,364,61,92,18,2,9,141,49,9,5,50,1,24,104,4,0.387,0.375,0.762,24,0.253,0.0
16,김수윤,NC,0.222,9,10,9,0,2,0,0,0,2,0,0,0,1,0,0,4,0,0.222,0.300,0.522,0,0.0,0.5
17,김성욱,NC,0.205,125,398,346,52,71,8,2,17,134,60,3,5,29,0,15,78,7,0.387,0.291,0.678,14,0.247,0.0
18,박시원,NC,0.202,48,140,124,15,25,2,1,2,35,13,2,1,13,0,0,43,2,0.282,0.275,0.557,4,0.259,0.125
19,도태훈,NC,0.200,93,163,130,19,26,3,0,0,29,11,4,1,22,0,6,28,5,0.223,0.340,0.563,6,0.189,0.133
19,송승환,NC,0.200,3,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.5
19,오영수,NC,0.200,20,34,30,4,6,0,0,3,15,5,0,1,2,0,1,6,0,0.500,0.265,0.765,0,0.083,0.286
22,김형준,NC,0.195,114,403,343,38,67,12,0,16,127,49,7,6,45,0,2,140,6,0.370,0.288,0.658,15,0.19,0.333
23,박한결,NC,0.185,28,71,65,8,12,1,0,7,34,14,0,0,6,0,0,29,1,0.523,0.254,0.777,3,0.133,0.2
24,김범준,NC,0.000,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.000,0.000,0.000,0,0.0,0.0
24,김세훈,NC,0.000,7,5,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.000,0.200,0.200,0,0.0,0.0
24,김영규,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,김재열,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,류진욱,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,송명기,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,신용석,NC,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0,0.0,0.0
24,한재승,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,한재환,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
