순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,박영빈,NC,0.500,2,0,0,-,0,0.50,4.40,0.500,1.9,0.52
2,박건우,NC,0.344,37,69,91,0.76,6,0.61,3.69,0.198,65.0,0.32
3,박민우,NC,0.340,29,79,96,0.82,3,0.71,3.96,0.115,70.2,0.304
4,김수윤,NC,0.333,0,0,1,0.00,0,0.33,4.00,0.000,1.0,0.276
4,김한별,NC,0.333,1,7,5,1.40,0,0.25,4.40,0.033,4.7,0.285
6,천재환,NC,0.292,8,18,30,0.60,0,0.50,3.87,0.135,15.6,0.276
7,손아섭,NC,0.291,23,110,63,1.75,6,0.26,3.79,0.113,43.4,0.246
8,데이비슨,NC,0.291,52,62,106,0.58,7,0.32,3.84,0.322,82.3,0.318
9,서호철,NC,0.285,23,103,92,1.12,3,0.39,3.85,0.104,49.2,0.257
10,권희동,NC,0.283,27,99,98,1.01,7,1.07,4.49,0.126,63.1,0.282
11,최정원,NC,0.271,2,24,9,2.67,1,0.63,4.38,0.029,10.3,0.253
12,박세혁,NC,0.255,7,20,28,0.71,1,0.29,3.93,0.082,12.3,0.232
13,김휘집,NC,0.251,32,66,119,0.55,3,0.36,4.12,0.161,47.6,0.248
14,박시원,NC,0.222,5,25,25,1.00,1,0.38,3.99,0.093,11.1,0.216
15,한석현,NC,0.217,0,7,4,1.75,0,0.14,4.00,0.000,0.8,0.18
16,김주원,NC,0.209,17,49,84,0.58,2,0.41,4.10,0.103,36.7,0.229
17,김성욱,NC,0.200,21,64,101,0.63,3,0.36,4.02,0.165,33.9,0.224
17,송승환,NC,0.200,0,2,1,2.00,0,0.00,3.00,0.000,0.1,0.14
17,오영수,NC,0.200,3,3,16,0.19,0,0.33,4.24,0.300,5.0,0.244
20,김형준,NC,0.194,22,44,69,0.64,6,0.34,4.25,0.169,35.3,0.223
21,박한결,NC,0.185,8,10,14,0.71,0,0.21,4.01,0.338,9.5,0.245
22,도태훈,NC,0.184,3,30,30,1.00,1,0.76,4.31,0.029,9.6,0.205
23,김세훈,NC,0.000,0,2,0,-,0,0.50,4.40,0.000,0.0,0.09
23,김영규,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김재열,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
23,류진욱,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
23,송명기,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
23,한재승,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
