순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,이지영,SSG,포수,95,730.1,1.322,14.48
2,박성한,SSG,유격수,116,967.0,0.858,9.4
3,오태곤,SSG,1루수,71,364.2,0.396,4.34
4,정준재,SSG,2루수,40,252.2,0.346,3.79
5,김성현,SSG,3루수,16,98.1,0.318,3.49
6,최경모,SSG,2루수,20,72.2,0.267,2.92
7,김찬형,SSG,유격수,1,3.0,0.064,0.7
8,김민식,SSG,포수,40,264.2,0.056,0.62
9,정현승,SSG,좌익수,4,20.0,0.055,0.6
10,정준재,SSG,3루수,18,85.2,0.05,0.54
11,최정,SSG,3루수,101,787.2,0.049,0.54
12,강진성,SSG,1루수,2,9.0,0.048,0.53
13,최준우,SSG,3루수,4,6.0,0.044,0.48
14,정준재,SSG,유격수,3,5.2,0.039,0.42
15,최상민,SSG,우익수,12,18.2,0.035,0.39
16,김창평,SSG,우익수,1,4.0,0.03,0.32
17,에레디아,SSG,중견수,2,14.0,0.029,0.32
18,강진성,SSG,좌익수,1,3.0,0.027,0.3
19,오태곤,SSG,3루수,2,5.0,0.013,0.15
20,최상민,SSG,중견수,5,11.0,0.01,0.11
21,정현승,SSG,우익수,8,35.0,0.001,0.01
22,문승원,SSG,투수,50,52.0,0.0,0.0
23,고명준,SSG,1루수,79,584.0,-0.003,-0.03
23,김찬형,SSG,2루수,2,11.0,-0.003,-0.04
25,추신수,SSG,우익수,6,35.0,-0.006,-0.07
26,최민창,SSG,우익수,3,4.0,-0.008,-0.09
27,안상현,SSG,2루수,28,176.0,-0.042,-0.46
28,오태곤,SSG,중견수,11,43.0,-0.061,-0.67
29,김찬형,SSG,3루수,2,10.0,-0.08,-0.88
30,오태곤,SSG,좌익수,11,38.2,-0.089,-0.98
31,최경모,SSG,유격수,9,20.0,-0.115,-1.26
31,정현승,SSG,중견수,3,17.0,-0.115,-1.26
33,최경모,SSG,3루수,19,60.0,-0.119,-1.3
34,에레디아,SSG,좌익수,96,789.0,-0.13,-1.42
35,최준우,SSG,2루수,10,47.0,-0.14,-1.54
36,하재훈,SSG,중견수,5,17.0,-0.144,-1.57
37,박지환,SSG,2루수,49,367.2,-0.158,-1.73
38,오태곤,SSG,우익수,9,44.0,-0.174,-1.9
39,조형우,SSG,포수,14,76.2,-0.18,-1.97
40,하재훈,SSG,좌익수,28,202.0,-0.194,-2.13
41,한유섬,SSG,좌익수,3,11.0,-0.208,-2.28
42,박지환,SSG,3루수,4,17.0,-0.236,-2.58
43,김성현,SSG,유격수,15,76.0,-0.324,-3.55
44,김성현,SSG,2루수,34,144.2,-0.361,-3.95
45,최지훈,SSG,중견수,115,968.2,-0.431,-4.73
46,전의산,SSG,1루수,22,114.0,-0.449,-4.92
47,한유섬,SSG,우익수,80,633.2,-1.416,-15.51
48,하재훈,SSG,우익수,45,297.1,-1.957,-21.44
58,고명준,SSG,3루수,1,1.0,nan,nan
58,최민창,SSG,좌익수,2,3.0,nan,nan
58,최민창,SSG,중견수,1,1.0,nan,nan
58,최상민,SSG,좌익수,4,5.0,nan,nan
58,박민호,SSG,투수,19,22.2,nan,nan
58,안상현,SSG,3루수,1,1.0,nan,nan
58,한두솔,SSG,투수,52,51.1,nan,nan
58,조병현,SSG,투수,62,59.0,nan,nan
58,이로운,SSG,투수,53,52.0,nan,nan
