순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,에레디아,SSG,0.354,123,535,491,70,174,26,1,16,250,103,0,8,24,3,12,67,11,0.509,0.393,0.902,52,0.423,0.0
2,정준재,SSG,0.305,76,194,174,35,53,5,4,1,69,16,2,0,16,0,2,46,1,0.397,0.370,0.767,13,0.295,0.3
3,박지환,SSG,0.299,66,221,201,30,60,9,2,2,79,18,3,2,12,0,3,51,3,0.393,0.344,0.737,16,0.298,0.25
4,최정,SSG,0.288,116,492,413,82,119,21,2,34,246,95,0,7,52,1,20,103,9,0.596,0.388,0.984,34,0.282,0.0
5,박성한,SSG,0.282,124,510,440,68,124,22,0,8,170,57,3,6,60,3,1,79,10,0.386,0.365,0.751,34,0.276,0.167
6,추신수,SSG,0.282,77,301,252,40,71,14,1,5,102,37,2,6,37,0,4,68,2,0.405,0.375,0.780,20,0.286,0.143
7,이지영,SSG,0.275,110,383,357,39,98,10,1,4,122,43,5,2,14,0,5,31,8,0.342,0.310,0.652,26,0.257,0.182
8,최지훈,SSG,0.273,116,523,465,86,127,21,7,11,195,47,6,2,48,0,2,68,5,0.419,0.342,0.761,37,0.235,0.0
9,오태곤,SSG,0.267,106,253,217,33,58,14,0,6,90,26,4,3,28,2,1,63,4,0.415,0.349,0.764,8,0.214,0.091
10,하재훈,SSG,0.264,96,283,258,36,68,17,0,9,112,33,2,5,17,0,1,79,5,0.434,0.306,0.740,18,0.2,0.0
11,고명준,SSG,0.252,95,334,313,30,79,13,0,10,122,40,0,0,20,0,1,84,4,0.390,0.299,0.689,13,0.314,0.0
12,최준우,SSG,0.250,17,33,24,2,6,2,0,0,8,5,0,0,9,0,0,7,0,0.333,0.455,0.788,1,0.25,0.0
13,김성현,SSG,0.235,66,157,132,20,31,3,1,1,39,15,5,1,15,0,4,24,7,0.295,0.329,0.624,9,0.25,0.667
14,조형우,SSG,0.233,16,35,30,4,7,0,0,0,7,4,0,0,1,0,4,5,0,0.233,0.343,0.576,2,0.3,0.0
15,한유섬,SSG,0.227,119,467,414,54,94,23,0,22,183,81,0,3,42,3,8,130,2,0.442,0.308,0.750,23,0.284,0.167
16,김민식,SSG,0.208,45,126,106,10,22,5,0,1,30,10,4,0,16,0,0,33,2,0.283,0.311,0.594,7,0.214,0.0
17,정현승,SSG,0.200,17,27,25,0,5,0,0,0,5,3,0,0,2,0,0,5,0,0.200,0.259,0.459,1,0.333,0.0
18,강진성,SSG,0.185,16,31,27,4,5,0,0,0,5,2,1,0,3,0,0,5,0,0.185,0.267,0.452,0,0.5,0.286
19,안상현,SSG,0.176,32,73,68,2,12,1,0,0,13,2,1,0,4,0,0,14,0,0.191,0.222,0.413,1,0.2,0.0
20,최경모,SSG,0.171,50,50,35,12,6,0,0,0,6,0,7,0,8,0,0,7,2,0.171,0.326,0.497,0,0.2,0.0
21,최상민,SSG,0.125,30,9,8,5,1,1,0,0,2,0,0,0,0,0,1,3,0,0.250,0.222,0.472,0,0.0,0.0
22,신범수,SSG,0.111,4,10,9,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0.111,0.200,0.311,0,0.0,1.0
23,전의산,SSG,0.088,34,63,57,3,5,0,0,1,8,3,0,1,5,0,0,15,3,0.140,0.159,0.299,0,0.0,0.091
24,김찬형,SSG,0.000,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0.000,0,0.0,0.0
24,김창평,SSG,0.000,6,9,7,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0.000,0.222,0.222,0,0.0,0.0
24,류효승,SSG,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
24,문승원,SSG,0.000,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
24,박민호,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,이로운,SSG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,조병현,SSG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,채현우,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,최민창,SSG,0.000,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
24,한두솔,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
