순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,강승호,doosan,2루수,97,772.2,1.293,14.22
2,박준영,doosan,유격수,56,425.2,0.973,10.71
3,김기연,doosan,포수,61,420.2,0.825,9.08
4,조수행,doosan,좌익수,69,488.2,0.552,6.07
5,정수빈,doosan,중견수,102,843.1,0.402,4.42
6,전민재,doosan,유격수,45,288.2,0.35,3.85
7,허경민,doosan,3루수,91,730.2,0.339,3.73
8,이유찬,doosan,3루수,16,103.0,0.31,3.41
9,양의지,doosan,포수,61,494.1,0.302,3.33
10,이유찬,doosan,유격수,14,71.0,0.296,3.26
11,이유찬,doosan,2루수,30,108.2,0.282,3.1
12,김대한,doosan,우익수,27,116.0,0.241,2.65
13,조수행,doosan,우익수,18,89.0,0.169,1.86
14,전민재,doosan,3루수,28,99.0,0.127,1.39
15,강승호,doosan,1루수,30,133.2,0.098,1.07
16,양찬열,doosan,우익수,6,25.0,0.084,0.93
17,안승한,doosan,포수,2,9.1,0.038,0.42
18,이유찬,doosan,우익수,2,10.0,0.024,0.27
19,장승현,doosan,포수,9,58.0,0.017,0.18
20,서예일,doosan,유격수,3,5.0,0.016,0.18
20,장규빈,doosan,포수,2,6.0,0.016,0.17
22,이유찬,doosan,중견수,2,3.0,0.005,0.06
23,김태근,doosan,우익수,9,17.2,0.003,0.04
24,권휘,doosan,투수,5,4.2,0.0,0.0
24,전다민,doosan,우익수,1,3.0,0.0,0.0
26,홍성호,doosan,좌익수,1,2.0,-0.001,-0.01
26,양찬열,doosan,좌익수,2,5.0,-0.001,-0.01
28,홍성호,doosan,1루수,3,5.0,-0.002,-0.03
29,홍성호,doosan,우익수,2,4.0,-0.003,-0.03
30,김태근,doosan,좌익수,9,43.2,-0.011,-0.12
31,서예일,doosan,3루수,10,35.0,-0.023,-0.25
32,박준영,doosan,3루수,6,16.0,-0.029,-0.32
33,전다민,doosan,좌익수,7,38.2,-0.031,-0.34
34,박민준,doosan,포수,2,2.0,-0.039,-0.43
35,제러드,doosan,우익수,9,74.0,-0.04,-0.44
36,김대한,doosan,중견수,5,10.0,-0.046,-0.5
37,전다민,doosan,중견수,2,3.0,-0.048,-0.53
38,김인태,doosan,우익수,1,6.0,-0.058,-0.64
39,윤준호,doosan,포수,3,9.0,-0.086,-0.95
40,박계범,doosan,2루수,13,24.0,-0.112,-1.23
41,박계범,doosan,유격수,3,19.0,-0.118,-1.29
42,김인태,doosan,좌익수,7,38.0,-0.136,-1.49
43,김태근,doosan,중견수,7,21.0,-0.144,-1.58
44,제러드,doosan,1루수,1,4.0,-0.148,-1.63
45,양석환,doosan,1루수,101,853.2,-0.157,-1.72
46,전민재,doosan,2루수,14,93.0,-0.158,-1.73
47,조수행,doosan,중견수,21,119.0,-0.227,-2.5
48,김대한,doosan,좌익수,19,80.0,-0.23,-2.53
49,박계범,doosan,3루수,10,15.2,-0.284,-3.12
50,김재환,doosan,좌익수,32,230.1,-0.519,-5.71
51,라모스,doosan,우익수,79,654.2,-0.576,-6.33
52,이유찬,doosan,좌익수,12,73.0,-0.65,-7.16
53,김재호,doosan,유격수,32,190.0,-0.663,-7.29
72,김명신,doosan,투수,32,31.2,nan,nan
72,최지강,doosan,투수,45,41.1,nan,nan
72,김민규,doosan,투수,9,14.1,nan,nan
72,김호준,doosan,투수,15,13.1,nan,nan
72,이교훈,doosan,투수,28,29.1,nan,nan
72,오명진,doosan,2루수,1,1.0,nan,nan
72,김민혁,doosan,1루수,1,1.0,nan,nan
72,박계범,doosan,1루수,1,1.0,nan,nan
72,박정수,doosan,투수,28,29.1,nan,nan
72,이영하,doosan,투수,44,48.1,nan,nan
72,김동주,doosan,투수,14,50.0,nan,nan
72,박치국,doosan,투수,40,35.0,nan,nan
72,김강률,doosan,투수,36,30.1,nan,nan
72,전민재,doosan,1루수,1,1.0,nan,nan
72,이병헌,doosan,투수,58,50.0,nan,nan
72,정철원,doosan,투수,21,19.1,nan,nan
72,최승용,doosan,투수,5,4.2,nan,nan
72,홍건희,doosan,투수,44,42.0,nan,nan
