순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,제러드,두산,0.429,5,26,21,6,9,4,0,2,19,9,0,0,5,0,0,3,0,0.905,0.538,1.443,2,0.273,0.0
2,양의지,두산,0.338,90,372,334,42,113,13,0,13,165,75,0,6,25,4,7,35,9,0.494,0.390,0.884,32,0.427,0.5
3,전다민,두산,0.333,17,24,18,6,6,1,0,0,7,1,0,0,6,0,0,7,0,0.389,0.500,0.889,0,0.375,0.333
3,허경민,두산,0.333,91,383,336,59,112,22,0,6,152,52,0,5,28,0,14,21,6,0.452,0.402,0.854,33,0.318,0.667
3,홍성호,두산,0.333,13,13,12,0,4,2,0,0,6,1,0,0,1,0,0,5,0,0.500,0.385,0.885,0,0.167,0.25
6,김기연,두산,0.307,64,197,176,25,54,10,0,4,76,26,1,3,15,0,2,29,4,0.432,0.362,0.794,15,0.311,0.167
7,라모스,두산,0.305,80,348,311,43,95,19,3,10,150,48,1,6,27,1,3,60,5,0.482,0.360,0.842,27,0.257,0.0
8,김재호,두산,0.296,34,84,71,9,21,5,0,0,26,3,2,1,9,0,1,11,2,0.366,0.378,0.744,6,0.364,0.25
9,이유찬,두산,0.288,73,159,139,28,40,6,0,3,55,11,2,0,17,0,1,31,5,0.396,0.369,0.765,10,0.238,0.333
10,강승호,두산,0.286,108,439,405,60,116,27,6,15,200,62,1,3,25,3,5,121,5,0.494,0.333,0.827,32,0.274,0.25
11,서예일,두산,0.286,16,14,14,1,4,0,0,0,4,1,0,0,0,0,0,3,0,0.286,0.286,0.572,1,0.667,0.0
12,정수빈,두산,0.273,101,437,374,67,102,14,3,3,131,30,7,6,44,1,6,49,7,0.350,0.353,0.703,30,0.239,0.0
13,전민재,두산,0.272,75,201,184,27,50,5,1,2,63,25,2,2,11,1,2,42,7,0.342,0.317,0.659,14,0.314,0.0
14,조수행,두산,0.270,98,292,252,47,68,3,2,0,75,23,10,4,24,1,2,41,2,0.298,0.333,0.631,18,0.206,0.4
15,김재환,두산,0.260,101,411,350,53,91,19,0,19,167,68,0,8,48,3,5,129,7,0.477,0.350,0.827,18,0.235,0.667
16,양석환,두산,0.254,107,444,398,64,101,20,1,24,195,79,0,2,41,1,3,94,13,0.490,0.327,0.817,30,0.293,0.667
17,윤준호,두산,0.250,3,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.250,0.250,0.500,0,0.0,0.0
17,장규빈,두산,0.250,2,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.250,0.250,0.500,0,0.333,1.0
19,박준영,두산,0.233,60,202,176,25,41,8,2,7,74,27,1,1,21,0,3,53,3,0.420,0.323,0.743,7,0.207,1.0
20,김민혁,두산,0.200,5,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0.800,0.500,1.300,0,0.0,0.0
20,박계범,두산,0.200,24,20,15,5,3,1,0,0,4,0,0,0,5,0,0,7,2,0.267,0.400,0.667,0,0.0,0.0
20,안승한,두산,0.200,4,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.5
20,장승현,두산,0.200,9,23,20,1,4,2,0,0,6,0,1,0,2,0,0,5,0,0.300,0.273,0.573,1,0.0,0.0
