순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,제러드,두산,0.407,13,8,14,0.57,3,0.86,4.15,0.424,20.7,0.436
2,전다민,두산,0.333,1,4,1,4.00,0,0.86,4.63,0.056,4.3,0.322
2,홍성호,두산,0.333,2,1,2,0.50,0,0.20,3.54,0.167,2.2,0.298
4,허경민,두산,0.330,32,106,121,0.88,4,1.36,3.73,0.126,65.8,0.294
5,양의지,두산,0.326,29,81,128,0.63,13,0.64,3.71,0.160,64.5,0.293
6,이유찬,두산,0.317,12,31,47,0.66,1,0.51,3.85,0.108,26.6,0.281
7,라모스,두산,0.305,32,75,87,0.86,6,0.45,3.72,0.177,52.9,0.283
8,김기연,두산,0.303,14,47,59,0.80,2,0.54,3.75,0.111,29.5,0.268
9,김재호,두산,0.296,5,17,29,0.59,2,0.92,3.86,0.062,11.3,0.262
10,강승호,두산,0.288,52,77,108,0.71,8,0.20,3.78,0.201,70.5,0.273
11,서예일,두산,0.286,0,3,4,0.75,0,0.00,4.29,0.000,1.1,0.2
12,정수빈,두산,0.283,22,130,117,1.11,2,1.02,4.09,0.075,64.8,0.257
13,조수행,두산,0.271,5,105,51,2.06,0,0.61,3.59,0.026,38.9,0.226
14,전민재,두산,0.268,8,58,51,1.14,1,0.28,3.64,0.062,21.2,0.223
15,김재환,두산,0.264,40,55,95,0.58,6,0.37,4.12,0.216,67.1,0.278
16,양석환,두산,0.262,51,78,142,0.55,9,0.41,4.06,0.241,71.3,0.276
17,윤준호,두산,0.250,0,1,1,1.00,0,0.00,4.50,0.000,0.2,0.175
17,장규빈,두산,0.250,0,2,0,-,0,0.00,4.75,0.000,0.2,0.175
19,박준영,두산,0.233,17,32,51,0.63,1,0.40,4.37,0.188,25.2,0.25
20,김민혁,두산,0.200,1,0,1,0.00,0,1.00,5.25,0.600,2.1,0.425
20,박계범,두산,0.200,1,3,2,1.50,0,0.71,4.70,0.067,1.7,0.247
20,안승한,두산,0.200,0,1,2,0.50,0,0.00,3.80,0.000,0.1,0.14
20,장승현,두산,0.200,2,8,3,2.67,0,0.40,3.70,0.100,1.4,0.198
24,김인태,두산,0.174,1,9,4,2.25,0,0.29,3.38,0.130,1.9,0.18
25,양찬열,두산,0.167,0,3,2,1.50,1,-,4.90,0.000,1.4,0.267
26,김대한,두산,0.139,2,15,24,0.63,0,0.32,3.90,0.056,4.1,0.156
27,김태근,두산,0.091,0,4,6,0.67,0,0.00,4.12,0.000,-0.1,0.113
28,권휘,두산,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.0
28,김강률,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김동주,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김호준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,박민준,두산,0.000,0,1,1,1.00,0,0.00,3.00,0.000,-0.3,0.0
28,박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,오명진,두산,0.000,0,0,0,-,0,1.00,4.50,0.000,0.2,0.225
28,이교훈,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,이병헌,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,최승용,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,최지강,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
28,홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
