순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,조수행,두산,102,59,53,6,89.8,2,0
2,정수빈,두산,106,52,43,9,82.7,5,1
3,강승호,두산,113,20,15,5,75.0,2,0
4,이유찬,두산,77,18,13,5,72.2,4,1
5,양석환,두산,112,8,5,3,62.5,1,0
5,전민재,두산,79,7,5,2,71.4,3,0
5,허경민,두산,96,5,5,0,100,3,0
8,라모스,두산,80,6,3,3,50.0,4,0
9,박준영,두산,60,2,2,0,100,1,0
9,양의지,두산,95,2,2,0,100,6,0
11,김대한,두산,54,2,1,1,50.0,3,0
11,김재환,두산,105,2,1,1,50.0,1,0
11,박계범,두산,24,1,1,0,100,1,0
11,전다민,두산,17,1,1,0,100,1,0
11,홍성호,두산,13,1,1,0,100,0,0
16,권휘,두산,1,0,0,0,-,0,0
16,김강률,두산,1,0,0,0,-,0,0
16,김기연,두산,68,2,0,2,0.0,2,0
16,김동주,두산,1,0,0,0,-,0,0
16,김명신,두산,3,0,0,0,-,0,0
16,김민규,두산,1,0,0,0,-,0,0
16,김민혁,두산,5,0,0,0,-,0,0
16,김인태,두산,10,0,0,0,-,0,0
16,김재호,두산,37,0,0,0,-,1,0
16,김태근,두산,35,1,0,1,0.0,2,0
16,김호준,두산,2,0,0,0,-,0,0
16,박민준,두산,3,0,0,0,-,0,0
16,박정수,두산,1,0,0,0,-,0,0
16,박치국,두산,3,0,0,0,-,0,0
16,서예일,두산,16,0,0,0,-,0,0
16,안승한,두산,4,0,0,0,-,0,0
16,양찬열,두산,8,0,0,0,-,0,0
16,오명진,두산,2,0,0,0,-,0,0
16,윤준호,두산,3,0,0,0,-,0,0
16,이교훈,두산,4,0,0,0,-,0,0
16,이병헌,두산,1,0,0,0,-,0,0
16,이영하,두산,1,0,0,0,-,0,0
16,장규빈,두산,2,0,0,0,-,0,0
16,장승현,두산,9,1,0,1,0.0,0,0
16,정철원,두산,2,0,0,0,-,0,0
16,제러드,두산,10,0,0,0,-,1,0
16,최승용,두산,1,0,0,0,-,0,0
16,최지강,두산,1,0,0,0,-,0,0
16,홍건희,두산,5,0,0,0,-,0,0
