순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,최재훈,hanhwa,포수,71,503.0,0.408,4.42
2,이원석,hanhwa,중견수,36,189.0,0.359,3.9
3,이도윤,hanhwa,유격수,67,484.1,0.355,3.85
4,최인호,hanhwa,좌익수,60,383.2,0.291,3.16
5,이재원,hanhwa,포수,39,197.1,0.251,2.73
6,김강민,hanhwa,중견수,31,153.1,0.207,2.25
7,이진영,hanhwa,중견수,19,109.0,0.204,2.21
8,황영묵,hanhwa,2루수,42,302.2,0.2,2.17
9,장진혁,hanhwa,우익수,14,45.1,0.172,1.86
10,임종찬,hanhwa,우익수,13,33.0,0.14,1.51
11,박상언,hanhwa,포수,26,113.0,0.137,1.48
12,이원석,hanhwa,좌익수,2,11.0,0.066,0.71
13,정은원,hanhwa,좌익수,10,70.0,0.062,0.67
14,문현빈,hanhwa,3루수,3,20.0,0.055,0.59
15,이도윤,hanhwa,2루수,19,82.0,0.035,0.38
16,유로결,hanhwa,우익수,1,2.0,0.028,0.3
17,장진혁,hanhwa,중견수,28,190.0,0.024,0.26
18,정은원,hanhwa,중견수,6,46.0,0.007,0.07
19,정은원,hanhwa,2루수,4,31.0,-0.002,-0.02
20,문현빈,hanhwa,유격수,1,2.0,-0.003,-0.03
21,안치홍,hanhwa,2루수,6,45.0,-0.006,-0.06
22,유로결,hanhwa,중견수,2,18.0,-0.01,-0.11
23,황영묵,hanhwa,유격수,32,201.0,-0.019,-0.2
24,이상혁,hanhwa,중견수,1,3.0,-0.02,-0.22
25,장진혁,hanhwa,좌익수,16,80.0,-0.026,-0.28
26,유로결,hanhwa,좌익수,2,11.0,-0.038,-0.41
27,채은성,hanhwa,우익수,23,181.0,-0.05,-0.55
28,하주석,hanhwa,유격수,22,127.0,-0.075,-0.81
29,김인환,hanhwa,1루수,1,6.0,-0.088,-0.96
30,하주석,hanhwa,3루수,8,52.1,-0.097,-1.05
31,이진영,hanhwa,우익수,6,18.0,-0.106,-1.15
32,노시환,hanhwa,3루수,84,738.0,-0.111,-1.21
33,이원석,hanhwa,우익수,9,27.0,-0.171,-1.85
34,페라자,hanhwa,우익수,38,303.0,-0.183,-1.98
35,김태연,hanhwa,2루수,6,30.2,-0.214,-2.32
36,임종찬,hanhwa,중견수,16,105.0,-0.236,-2.56
37,김태연,hanhwa,우익수,26,200.0,-0.276,-2.99
38,페라자,hanhwa,좌익수,40,255.2,-0.338,-3.67
39,채은성,hanhwa,1루수,30,243.0,-0.443,-4.81
40,문현빈,hanhwa,2루수,48,323.0,-0.449,-4.87
41,김태연,hanhwa,1루수,40,282.1,-0.652,-7.07
42,안치홍,hanhwa,1루수,34,283.0,-0.681,-7.39
52,황영묵,hanhwa,3루수,3,3.0,nan,nan
52,박상원,hanhwa,투수,34,32.2,nan,nan
52,이상혁,hanhwa,좌익수,1,2.0,nan,nan
52,이명기,hanhwa,좌익수,1,1.0,nan,nan
52,주현상,hanhwa,투수,37,45.2,nan,nan
52,장규현,hanhwa,포수,1,1.0,nan,nan
52,이도윤,hanhwa,3루수,1,1.0,nan,nan
52,이명기,hanhwa,중견수,1,1.0,nan,nan
52,이상혁,hanhwa,우익수,4,5.0,nan,nan
