순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,황영묵,한화,0.310,74,248,229,34,71,7,2,3,91,28,1,1,14,0,3,32,4,0.397,0.356,0.753,19,0.333,0.0
2,김태연,한화,0.308,78,292,253,37,78,16,0,11,127,46,3,2,31,0,3,52,4,0.502,0.388,0.890,21,0.286,0.0
3,페라자,한화,0.301,75,331,289,55,87,21,0,17,159,53,0,2,39,4,1,76,4,0.550,0.384,0.934,27,0.348,0.333
4,이재원,한화,0.299,40,86,77,4,23,2,0,0,25,8,1,1,5,1,2,12,2,0.325,0.353,0.678,5,0.364,0.0
5,안치홍,한화,0.295,91,390,346,50,102,13,0,10,145,46,0,3,36,0,5,56,5,0.419,0.367,0.786,32,0.294,0.0
6,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
7,최재훈,한화,0.271,72,227,177,26,48,9,0,1,60,19,4,4,25,0,17,34,7,0.339,0.404,0.743,10,0.24,1.0
8,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
9,노시환,한화,0.267,85,382,345,56,92,13,1,18,161,60,0,0,32,7,5,83,5,0.467,0.338,0.805,22,0.286,0.0
10,이도윤,한화,0.265,86,247,219,29,58,4,2,0,66,28,3,3,20,0,2,35,4,0.301,0.328,0.629,15,0.333,0.4
11,이원석,한화,0.258,51,110,97,15,25,3,1,0,30,9,1,1,11,0,0,23,3,0.309,0.330,0.639,6,0.261,0.0
12,문현빈,한화,0.251,68,194,175,21,44,8,2,4,68,24,1,1,16,0,1,41,7,0.389,0.316,0.705,9,0.263,0.278
13,이상혁,한화,0.250,17,4,4,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.500,0,0.0,0.333
14,채은성,한화,0.246,74,305,276,30,68,15,0,9,110,47,0,2,23,1,4,54,6,0.399,0.311,0.710,19,0.254,0.0
15,하주석,한화,0.238,35,90,80,5,19,4,0,0,23,4,2,0,7,0,1,24,0,0.288,0.307,0.595,3,0.231,0.25
16,장진혁,한화,0.234,48,148,128,29,30,5,0,3,44,18,2,1,15,0,2,39,1,0.344,0.322,0.666,5,0.286,0.0
17,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
18,유로결,한화,0.214,8,16,14,3,3,0,0,0,3,1,0,0,2,0,0,2,1,0.214,0.313,0.527,0,0.167,0.0
19,김인환,한화,0.200,7,11,10,0,2,0,0,0,2,0,0,0,1,0,0,3,0,0.200,0.273,0.473,0,0.0,0.25
19,이진영,한화,0.200,23,63,55,9,11,4,0,0,15,8,0,0,6,0,2,18,1,0.273,0.302,0.575,3,0.294,0.5
21,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
22,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
23,박상원,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
23,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,주현상,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
