순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,황영묵,한화,0.310,12,77,50,1.54,4,0.44,3.68,0.087,29.8,0.259
2,김태연,한화,0.308,27,59,66,0.89,2,0.60,3.93,0.194,47.5,0.3
3,페라자,한화,0.301,38,65,63,1.03,3,0.51,3.98,0.249,57.8,0.31
4,이재원,한화,0.299,2,18,25,0.72,0,0.42,3.29,0.026,8.9,0.24
5,안치홍,한화,0.295,23,86,105,0.82,6,0.64,3.90,0.124,54.0,0.27
6,박상언,한화,0.286,3,6,12,0.50,0,0.75,4.02,0.071,7.4,0.28
7,최재훈,한화,0.271,10,48,51,0.94,0,0.74,4.19,0.068,28.4,0.267
8,최인호,한화,0.268,14,58,48,1.21,3,0.77,3.96,0.098,25.6,0.251
9,노시환,한화,0.267,32,79,91,0.87,4,0.39,3.86,0.200,53.7,0.269
10,이도윤,한화,0.265,6,67,62,1.08,5,0.57,3.82,0.037,23.4,0.223
11,이원석,한화,0.258,4,26,24,1.08,0,0.48,3.89,0.052,10.5,0.226
12,문현빈,한화,0.251,14,46,45,1.02,2,0.39,3.76,0.137,19.2,0.239
13,이상혁,한화,0.250,0,3,0,-,0,-,2.25,0.000,0.8,0.175
14,채은성,한화,0.246,24,63,93,0.68,2,0.43,3.69,0.152,34.1,0.24
15,하주석,한화,0.238,4,20,17,1.18,0,0.29,3.47,0.050,7.0,0.21
16,장진혁,한화,0.234,8,33,27,1.22,1,0.38,4.22,0.109,15.8,0.231
17,김강민,한화,0.224,1,14,24,0.58,0,0.38,3.72,0.039,7.3,0.211
18,유로결,한화,0.214,0,5,4,1.25,0,1.00,3.69,0.000,0.5,0.194
19,김인환,한화,0.200,0,2,3,0.67,0,0.33,3.82,0.000,0.6,0.173
19,이진영,한화,0.200,4,14,12,1.17,0,0.33,4.27,0.073,4.6,0.204
21,정은원,한화,0.172,5,22,15,1.47,0,0.81,4.37,0.125,7.6,0.215
22,임종찬,한화,0.158,5,12,17,0.71,2,0.32,3.66,0.123,3.1,0.183
23,박상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이명기,한화,0.000,0,2,2,1.00,0,0.00,3.63,0.000,-0.6,0.0
23,장규현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
