순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김인환,한화,0.325,15,43,40,6,13,0,0,1,16,5,0,0,2,0,1,9,1,0.400,0.372,0.772,5,0.4,0.25
2,김태연,한화,0.317,86,328,281,46,89,19,0,11,141,50,4,3,36,0,4,58,4,0.502,0.398,0.900,25,0.29,0.0
3,황영묵,한화,0.313,81,261,240,37,75,7,3,3,97,29,2,1,15,0,3,34,4,0.404,0.359,0.763,20,0.324,0.0
4,안치홍,한화,0.302,99,421,374,55,113,16,0,10,159,53,0,4,38,1,5,59,5,0.425,0.371,0.796,36,0.312,0.0
5,하주석,한화,0.297,42,111,101,8,30,8,0,1,41,10,2,0,7,0,1,25,0,0.406,0.349,0.755,7,0.368,0.2
6,페라자,한화,0.294,83,372,326,60,96,22,0,18,172,57,0,2,43,4,1,88,4,0.528,0.376,0.904,29,0.333,0.333
7,이재원,한화,0.294,45,97,85,5,25,2,0,0,27,10,2,3,5,1,2,14,2,0.318,0.337,0.655,5,0.348,0.0
8,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
9,노시환,한화,0.283,93,421,375,67,106,13,1,20,181,72,0,1,37,7,8,87,5,0.483,0.359,0.842,26,0.317,0.0
10,최재훈,한화,0.272,80,252,195,27,53,10,0,1,66,24,6,4,27,0,20,36,7,0.338,0.407,0.745,11,0.271,1.0
11,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
12,이도윤,한화,0.265,94,259,230,33,61,4,2,0,69,30,3,3,21,0,2,37,4,0.300,0.328,0.628,16,0.357,0.4
13,이원석,한화,0.255,59,120,106,20,27,4,1,0,33,11,1,1,12,0,0,28,3,0.311,0.328,0.639,6,0.269,0.0
14,채은성,한화,0.254,82,343,311,40,79,16,0,13,134,61,0,2,26,1,4,61,7,0.431,0.318,0.749,21,0.261,0.0
15,문현빈,한화,0.247,71,198,178,21,44,8,2,4,68,24,1,1,17,0,1,41,7,0.382,0.315,0.697,9,0.25,0.25
16,장진혁,한화,0.236,56,180,157,37,37,7,0,4,56,22,3,1,17,0,2,44,3,0.357,0.316,0.673,7,0.255,0.0
17,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
18,유로결,한화,0.214,8,16,14,3,3,0,0,0,3,1,0,0,2,0,0,2,1,0.214,0.313,0.527,0,0.167,0.0
19,이진영,한화,0.200,23,63,55,9,11,4,0,0,15,8,0,0,6,0,2,18,1,0.273,0.302,0.575,3,0.294,0.5
20,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
21,이상혁,한화,0.167,24,7,6,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0.167,0.286,0.453,0,0.0,0.333
22,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
23,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,박상원,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
23,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,주현상,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
