순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,황영묵,한화,0.303,15,114,73,1.56,5,0.55,3.72,0.072,45.8,0.259
2,안치홍,한화,0.298,32,116,143,0.81,8,0.70,3.89,0.125,72.3,0.272
3,하주석,한화,0.296,11,33,31,1.06,1,0.32,3.40,0.104,18.0,0.259
4,권광민,한화,0.295,7,7,9,0.78,0,0.20,4.02,0.341,9.0,0.312
5,김태연,한화,0.292,35,98,106,0.92,3,0.52,3.92,0.146,64.2,0.274
6,박상언,한화,0.286,3,6,12,0.50,0,0.75,4.02,0.071,7.4,0.28
7,이도윤,한화,0.280,14,99,88,1.13,7,0.47,3.77,0.058,37.8,0.234
8,최인호,한화,0.278,15,63,52,1.21,3,0.77,3.91,0.096,28.2,0.255
9,페라자,한화,0.277,48,101,100,1.01,7,0.48,3.95,0.212,79.4,0.287
10,문현빈,한화,0.274,22,66,62,1.06,3,0.45,3.67,0.137,31.2,0.257
11,채은성,한화,0.271,44,100,135,0.74,6,0.55,3.81,0.195,68.5,0.273
12,노시환,한화,0.269,44,113,140,0.81,6,0.45,4.01,0.182,83.7,0.272
13,장진혁,한화,0.268,25,74,63,1.17,4,0.39,3.99,0.151,40.2,0.257
14,최재훈,한화,0.259,14,70,82,0.85,0,0.58,4.14,0.080,39.9,0.253
15,이재원,한화,0.244,5,34,51,0.67,1,0.37,3.19,0.053,12.9,0.206
16,김인환,한화,0.238,3,34,34,1.00,2,0.32,3.70,0.038,10.0,0.206
17,이원석,한화,0.233,5,34,37,0.92,0,0.50,3.96,0.045,13.7,0.214
18,김강민,한화,0.224,1,14,24,0.58,0,0.38,3.72,0.039,7.3,0.211
19,유로결,한화,0.222,1,11,6,1.83,0,0.27,4.00,0.028,0.8,0.189
19,이상혁,한화,0.222,0,5,0,-,0,0.50,3.40,0.000,1.0,0.191
21,이진영,한화,0.211,7,27,18,1.50,0,0.31,4.32,0.100,7.1,0.208
22,정은원,한화,0.172,5,22,15,1.47,0,0.81,4.37,0.125,7.6,0.215
23,임종찬,한화,0.158,5,12,17,0.71,2,0.32,3.66,0.123,3.1,0.183
24,김서현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
24,박상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
24,이명기,한화,0.000,0,2,2,1.00,0,0.00,3.63,0.000,-0.6,0.0
24,장규현,한화,0.000,0,2,3,0.67,0,1.00,3.86,0.000,-0.2,0.064
24,장민재,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
24,주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
24,한경빈,한화,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.0
