순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김혜성,kiwoom,2루수,113,962.1,2.475,27.91
2,김태진,kiwoom,유격수,50,285.1,0.924,10.42
3,김재현,kiwoom,포수,107,742.1,0.723,8.16
4,송성문,kiwoom,3루수,89,704.1,0.586,6.61
5,송성문,kiwoom,2루수,19,151.2,0.366,4.13
6,김휘집,kiwoom,유격수,44,338.1,0.313,3.53
7,변상권,kiwoom,우익수,9,51.2,0.269,3.04
8,이주형,kiwoom,중견수,42,296.1,0.244,2.75
9,김건희,kiwoom,포수,60,381.0,0.232,2.62
10,변상권,kiwoom,좌익수,36,273.0,0.21,2.37
11,김태진,kiwoom,좌익수,8,35.0,0.159,1.8
12,원성준,kiwoom,좌익수,5,16.0,0.158,1.78
13,임병욱,kiwoom,우익수,12,74.0,0.152,1.72
14,이용규,kiwoom,우익수,13,94.0,0.116,1.31
15,박주홍,kiwoom,좌익수,13,82.0,0.11,1.24
16,주성원,kiwoom,우익수,16,93.0,0.103,1.16
17,고영우,kiwoom,2루수,10,45.0,0.081,0.91
18,김주형,kiwoom,유격수,16,56.2,0.069,0.78
19,김태진,kiwoom,2루수,10,28.0,0.066,0.74
20,김시앙,kiwoom,포수,6,19.1,0.048,0.54
21,박주홍,kiwoom,우익수,4,9.0,0.044,0.5
22,도슨,kiwoom,좌익수,63,495.0,0.027,0.31
23,김주형,kiwoom,2루수,5,11.0,0.025,0.28
24,김휘집,kiwoom,3루수,9,53.0,0.023,0.26
24,이주형,kiwoom,우익수,57,430.1,0.023,0.26
26,박주홍,kiwoom,1루수,3,10.0,0.012,0.13
27,박수종,kiwoom,중견수,52,229.1,0.006,0.07
28,박수종,kiwoom,좌익수,15,50.2,0.002,0.02
29,송지후,kiwoom,2루수,1,3.0,-0.005,-0.05
30,김병휘,kiwoom,2루수,3,3.0,-0.012,-0.14
31,주성원,kiwoom,좌익수,4,21.2,-0.027,-0.3
31,이형종,kiwoom,우익수,29,218.2,-0.027,-0.3
31,원성준,kiwoom,우익수,7,41.0,-0.027,-0.31
34,김태진,kiwoom,우익수,2,6.0,-0.03,-0.34
35,박성빈,kiwoom,포수,10,35.0,-0.033,-0.37
36,예진원,kiwoom,좌익수,6,19.0,-0.039,-0.44
37,임병욱,kiwoom,좌익수,1,9.0,-0.054,-0.61
38,김병휘,kiwoom,유격수,21,138.2,-0.081,-0.92
39,이용규,kiwoom,좌익수,21,159.2,-0.082,-0.92
40,도슨,kiwoom,중견수,25,185.2,-0.108,-1.22
41,박준형,kiwoom,포수,4,12.1,-0.118,-1.33
42,고영우,kiwoom,유격수,14,67.0,-0.125,-1.41
43,임지열,kiwoom,좌익수,8,39.0,-0.129,-1.46
44,김동헌,kiwoom,포수,2,14.0,-0.13,-1.46
45,임병욱,kiwoom,중견수,20,107.0,-0.133,-1.5
46,이용규,kiwoom,중견수,26,171.1,-0.144,-1.62
47,이주형,kiwoom,좌익수,1,4.0,-0.156,-1.76
48,박수종,kiwoom,우익수,8,14.0,-0.163,-1.84
49,이승원,kiwoom,유격수,18,96.0,-0.195,-2.19
49,예진원,kiwoom,중견수,11,23.0,-0.195,-2.2
51,예진원,kiwoom,우익수,5,16.2,-0.196,-2.21
52,장재영,kiwoom,우익수,12,89.2,-0.212,-2.39
53,장재영,kiwoom,중견수,17,126.1,-0.22,-2.48
54,임지열,kiwoom,우익수,9,66.0,-0.263,-2.97
55,이원석,kiwoom,1루수,12,87.0,-0.305,-3.44
56,원성준,kiwoom,중견수,10,65.0,-0.307,-3.46
57,최주환,kiwoom,1루수,114,959.0,-0.354,-3.99
58,송성문,kiwoom,1루수,32,148.0,-0.392,-4.42
59,이재상,kiwoom,유격수,35,221.0,-0.537,-6.05
60,고영우,kiwoom,3루수,65,442.2,-0.555,-6.26
73,신준우,kiwoom,유격수,1,1.0,nan,nan
73,김선기,kiwoom,투수,36,72.2,nan,nan
73,김재웅,kiwoom,투수,26,23.2,nan,nan
73,김연주,kiwoom,투수,30,27.1,nan,nan
73,문성현,kiwoom,투수,41,38.1,nan,nan
73,주승우,kiwoom,투수,52,49.2,nan,nan
73,윤정현,kiwoom,투수,2,3.0,nan,nan
73,김윤하,kiwoom,투수,18,72.0,nan,nan
73,김주형,kiwoom,3루수,1,1.0,nan,nan
73,김태진,kiwoom,3루수,1,1.0,nan,nan
73,김병휘,kiwoom,3루수,1,2.0,nan,nan
73,양지율,kiwoom,투수,18,17.0,nan,nan
