순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,송성문,키움,0.342,130,545,476,77,163,27,3,17,247,96,0,8,58,2,3,72,5,0.519,0.411,0.930,43,0.381,0.333
2,도슨,키움,0.330,95,429,382,69,126,31,2,11,194,57,0,2,39,0,6,54,10,0.508,0.399,0.907,38,0.333,0.5
3,김혜성,키움,0.325,116,515,464,80,151,24,4,11,216,69,0,6,41,2,4,58,6,0.466,0.381,0.847,44,0.389,0.0
4,이용규,키움,0.306,60,227,183,27,56,5,2,1,68,12,3,1,31,0,9,33,4,0.372,0.429,0.801,12,0.182,0.5
5,이주형,키움,0.278,103,477,421,76,117,18,3,12,177,54,0,1,43,1,12,108,4,0.420,0.361,0.781,33,0.274,0.0
6,김건희,키움,0.263,71,230,213,24,56,12,0,7,89,29,0,3,14,0,0,63,6,0.418,0.304,0.722,13,0.264,0.308
7,고영우,키움,0.256,94,290,254,21,65,12,2,0,81,35,4,3,28,0,1,71,5,0.319,0.329,0.648,15,0.324,0.5
8,원성준,키움,0.255,42,110,98,11,25,5,0,2,36,10,1,1,10,0,0,33,2,0.367,0.321,0.688,6,0.28,0.231
9,변상권,키움,0.255,70,216,204,14,52,3,1,5,72,20,0,1,10,0,1,47,4,0.353,0.292,0.645,16,0.2,0.188
10,임병욱,키움,0.241,42,92,87,14,21,3,0,3,33,10,0,1,4,0,0,32,1,0.379,0.272,0.651,3,0.368,0.182
11,최주환,키움,0.241,118,490,431,43,104,18,0,12,158,72,0,8,45,2,6,85,11,0.367,0.316,0.683,29,0.28,0.0
12,김재현,키움,0.239,105,309,272,25,65,10,0,0,75,26,9,5,13,0,10,59,8,0.276,0.293,0.569,13,0.232,0.0
13,김병휘,키움,0.222,21,42,36,4,8,2,0,1,13,2,0,0,3,0,3,17,0,0.361,0.333,0.694,1,0.0,0.0
13,박성빈,키움,0.222,10,11,9,1,2,1,0,0,3,2,0,0,1,0,1,2,0,0.333,0.364,0.697,0,1.0,0.0
15,이원석,키움,0.220,39,109,91,5,20,4,0,0,24,8,0,2,14,0,2,18,2,0.264,0.330,0.594,5,0.185,0.25
16,김태진,키움,0.218,71,166,156,20,34,5,1,0,41,7,5,0,5,1,0,22,1,0.263,0.242,0.505,7,0.211,0.273
17,이형종,키움,0.216,35,126,102,19,22,3,0,4,37,19,1,0,22,1,1,27,1,0.363,0.360,0.723,3,0.385,0.333
18,박수종,키움,0.213,68,105,89,17,19,4,0,0,23,4,3,0,11,0,2,10,3,0.258,0.314,0.572,5,0.167,0.0
19,김동헌,키움,0.200,2,7,5,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0.200,0.429,0.629,0,1.0,0.0
19,주성원,키움,0.200,27,62,55,7,11,1,0,1,15,5,1,0,6,0,0,18,2,0.273,0.279,0.552,1,0.2,0.125
21,이재상,키움,0.190,36,89,84,7,16,1,0,1,20,5,1,0,2,0,2,33,0,0.238,0.227,0.465,4,0.13,0.0
22,장재영,키움,0.167,26,94,78,11,13,3,0,2,22,6,0,0,14,0,2,42,2,0.282,0.309,0.591,2,0.235,0.0
23,김주형,키움,0.150,22,25,20,0,3,0,0,0,3,2,1,0,1,0,3,9,0,0.150,0.292,0.442,0,0.5,0.0
24,김시앙,키움,0.143,6,7,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.143,0.143,0.286,0,0.0,0.0
25,이승원,키움,0.111,19,40,36,3,4,1,0,0,5,1,2,0,2,0,0,12,2,0.139,0.158,0.297,0,0.091,0.0
