순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김혜성,키움,0.341,35,96,116,0.83,8,1.00,3.87,0.162,73.4,0.306
2,송성문,키움,0.340,33,98,106,0.92,9,0.87,3.86,0.164,78.4,0.309
3,도슨,키움,0.330,44,100,104,0.96,9,0.72,3.66,0.178,69.8,0.307
4,이용규,키움,0.306,8,53,42,1.26,1,0.94,3.95,0.066,31.8,0.286
5,이주형,키움,0.293,26,65,77,0.84,4,0.48,3.87,0.156,54.7,0.286
6,임병욱,키움,0.277,6,12,16,0.75,0,0.20,3.73,0.185,9.6,0.257
7,고영우,키움,0.274,11,41,59,0.69,3,0.44,3.93,0.063,25.1,0.24
8,변상권,키움,0.267,5,35,33,1.06,1,0.25,3.90,0.081,14.0,0.227
9,김건희,키움,0.265,10,29,23,1.26,0,0.19,3.96,0.136,15.8,0.239
10,김재현,키움,0.250,10,76,58,1.31,0,0.22,3.49,0.042,21.5,0.208
10,원성준,키움,0.250,5,8,7,1.14,1,0.18,4.59,0.146,6.4,0.235
12,최주환,키움,0.241,23,77,125,0.62,5,0.51,4.11,0.119,39.9,0.229
13,김태진,키움,0.233,6,37,45,0.82,0,0.29,3.30,0.054,9.4,0.189
14,이원석,키움,0.220,4,19,36,0.53,2,0.78,3.86,0.044,9.8,0.215
15,이형종,키움,0.213,7,21,28,0.75,2,0.72,3.91,0.160,13.8,0.248
15,장재영,키움,0.213,3,8,3,2.67,0,0.31,4.04,0.106,5.5,0.238
17,주성원,키움,0.208,2,14,9,1.56,0,0.33,4.17,0.083,3.6,0.2
18,김동헌,키움,0.200,0,2,2,1.00,0,-,2.86,0.000,0.8,0.243
19,이재상,키움,0.193,2,17,17,1.00,0,0.06,3.68,0.048,4.3,0.164
20,박수종,키움,0.191,1,21,27,0.78,0,0.86,3.74,0.015,4.3,0.176
21,김시앙,키움,0.143,0,3,2,1.50,0,0.00,2.43,0.000,0.0,0.1
22,김주형,키움,0.125,0,5,1,5.00,0,0.13,3.90,0.000,0.8,0.166
22,박성빈,키움,0.125,0,3,2,1.50,0,0.50,2.78,0.000,0.2,0.131
24,김웅빈,키움,0.103,0,4,8,0.50,0,0.21,4.65,0.000,0.1,0.121
25,임지열,키움,0.102,1,13,16,0.81,0,0.44,4.25,0.061,1.4,0.136
26,박주홍,키움,0.067,1,4,5,0.80,0,0.20,3.94,0.067,-0.1,0.09
26,이승원,키움,0.067,0,3,5,0.60,0,0.17,3.39,0.000,-0.8,0.073
28,김병휘,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김선기,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김수환,키움,0.000,0,2,0,-,0,0.00,5.67,0.000,-0.3,0.0
28,김연주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김윤하,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
28,문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
28,박준형,키움,0.000,0,1,1,1.00,0,0.00,3.20,0.000,-0.5,0.0
28,송지후,키움,0.000,0,1,0,-,0,-,1.00,0.000,-0.1,0.0
28,신준우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
28,양지율,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
28,주승우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
