순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,정보근,롯데,1.0,1,1,0,0,0,0,0,0,0,0,1번
2,신윤후,롯데,0.667,3,2,0,0,0,0,0,0,0,0,1번
3,이정훈,롯데,0.5,2,1,1,0,0,0,0,0,0,0,1번
4,황성빈,롯데,0.299,244,73,11,5,1,12,20,2,42,2,1번
5,윤동희,롯데,0.275,247,68,19,1,4,30,27,0,49,5,1번
6,김동혁,롯데,0.25,4,1,0,0,0,0,0,0,2,0,1번
6,정훈,롯데,0.25,4,1,0,0,0,0,0,0,0,0,1번
6,최항,롯데,0.25,4,1,0,0,0,0,0,0,1,0,1번
9,장두성,롯데,0.154,13,2,0,0,0,0,2,0,4,0,1번
10,김민석,롯데,0.067,15,1,0,0,0,0,1,3,3,0,1번
11,김민성,롯데,0.0,1,0,0,0,0,0,0,0,0,0,1번
11,박승욱,롯데,0.0,1,0,0,0,0,0,0,0,1,0,1번
11,손호영,롯데,0.0,2,0,0,0,0,0,0,0,0,1,1번
11,이주찬,롯데,0.0,2,0,0,0,0,0,1,0,0,0,1번
1,김민성,롯데,1.000,2,2,2,0,0,0,0,0,0,0,2번
1,노진혁,롯데,1.000,1,1,0,0,0,1,0,0,0,0,2번
1,손성빈,롯데,1.000,1,1,0,0,0,0,0,0,0,0,2번
4,황성빈,롯데,0.542,24,13,0,2,3,8,3,0,3,0,2번
5,정보근,롯데,0.500,2,1,0,1,0,1,0,0,0,0,2번
6,윤동희,롯데,0.342,120,41,7,2,2,21,16,3,24,1,2번
7,고승민,롯데,0.300,283,85,18,2,9,40,20,1,45,7,2번
8,나승엽,롯데,0.300,10,3,0,0,0,1,1,0,2,0,2번
9,박승욱,롯데,0.250,8,2,1,0,0,0,1,0,1,0,2번
9,손호영,롯데,0.250,4,1,1,0,0,0,0,0,0,0,2번
11,김민석,롯데,0.235,17,4,0,1,0,2,0,0,4,2,2번
12,정훈,롯데,0.222,45,10,3,0,2,4,7,0,9,1,2번
13,최항,롯데,0.167,6,1,0,0,0,0,0,0,1,0,2번
14,김동혁,롯데,0.000,1,0,0,0,0,0,0,0,0,0,2번
14,신윤후,롯데,0.000,2,0,0,0,0,0,0,0,0,0,2번
14,이정훈,롯데,-,0,0,0,0,0,0,1,0,0,0,2번
14,이학주,롯데,0.000,4,0,0,0,0,0,0,0,4,0,2번
14,이호준,롯데,-,0,0,0,0,0,0,1,0,0,0,2번
14,장두성,롯데,0.000,2,0,0,0,0,0,0,0,0,0,2번
14,전준우,롯데,0.000,3,0,0,0,0,0,1,0,1,0,2번
1,김민석,롯데,1.000,1,1,0,0,0,0,0,0,0,0,3번
2,노진혁,롯데,0.500,4,2,2,0,0,0,0,0,1,0,3번
2,최항,롯데,0.500,2,1,0,0,0,0,0,0,0,0,3번
4,레이예스,롯데,0.335,158,53,9,1,5,29,14,1,24,5,3번
5,손호영,롯데,0.317,145,46,6,2,9,34,6,4,18,1,3번
6,고승민,롯데,0.315,92,29,4,0,2,23,13,0,18,2,3번
7,전준우,롯데,0.258,89,23,5,0,4,20,9,1,22,2,3번
8,이정훈,롯데,0.200,5,1,1,0,0,1,1,0,2,0,3번
9,나승엽,롯데,0.176,17,3,2,0,0,2,2,0,5,1,3번
10,김동혁,롯데,0.000,1,0,0,0,0,0,0,0,1,0,3번
10,서동욱,롯데,0.000,1,0,0,0,0,0,0,0,1,0,3번
10,신윤후,롯데,0.000,1,0,0,0,0,0,0,0,1,0,3번
10,윤동희,롯데,0.000,3,0,0,0,0,0,1,0,1,0,3번
10,장두성,롯데,0.000,1,0,0,0,0,0,0,1,1,0,3번
10,정훈,롯데,-,0,0,0,0,0,0,1,0,0,0,3번
10,황성빈,롯데,0.000,3,0,0,0,0,0,0,0,1,0,3번
1,강성우,롯데,1.0,1,1,0,0,0,0,0,0,0,0,4번
1,노진혁,롯데,1.0,1,1,0,0,0,0,0,0,0,0,4번
1,서동욱,롯데,1.0,1,1,0,0,0,0,0,0,0,0,4번
4,김민석,롯데,0.5,2,1,0,0,0,0,0,0,1,0,4번
4,장두성,롯데,0.5,2,1,0,0,0,0,0,0,0,1,4번
6,레이예스,롯데,0.361,346,125,25,1,9,68,26,0,48,8,4번
7,전준우,롯데,0.318,154,49,11,1,6,30,14,2,26,4,4번
8,김동혁,롯데,0.286,7,2,0,1,0,1,0,0,1,0,4번
9,황성빈,롯데,0.25,4,1,0,0,0,1,0,0,0,0,4번
10,신윤후,롯데,0.0,1,0,0,0,0,0,0,0,0,0,4번
10,오선진,롯데,0.0,2,0,0,0,0,0,0,0,1,0,4번
10,이정훈,롯데,0.0,1,0,0,0,0,0,0,0,1,0,4번
10,정훈,롯데,0.0,1,0,0,0,0,0,0,0,0,0,4번
10,한동희,롯데,0.0,4,0,0,0,0,0,0,0,1,1,4번
1,최항,롯데,0.571,7,4,2,0,0,1,1,0,0,0,5번
2,김민석,롯데,0.5,2,1,1,0,0,0,0,0,0,0,5번
2,박승욱,롯데,0.5,2,1,0,0,0,0,1,0,0,0,5번
4,고승민,롯데,0.333,3,1,0,0,0,0,1,0,0,0,5번
4,손호영,롯데,0.333,87,29,6,1,5,17,5,2,15,2,5번
6,나승엽,롯데,0.323,161,52,18,3,2,30,24,0,34,1,5번
7,정훈,롯데,0.3,70,21,6,0,1,11,4,0,16,0,5번
8,전준우,롯데,0.274,84,23,4,1,4,12,11,1,19,3,5번
9,한동희,롯데,0.25,8,2,0,0,0,0,0,0,2,0,5번
10,이정훈,롯데,0.231,13,3,1,0,0,4,2,0,4,1,5번
11,김민성,롯데,0.2,10,2,1,0,1,4,0,2,2,0,5번
12,윤동희,롯데,0.143,7,1,0,0,0,1,1,0,2,0,5번
13,노진혁,롯데,0.129,31,4,1,0,0,2,5,0,8,0,5번
14,김동혁,롯데,0.0,1,0,0,0,0,0,0,0,1,0,5번
14,손성빈,롯데,0.0,1,0,0,0,0,0,2,0,0,0,5번
14,오선진,롯데,0.0,1,0,0,0,0,0,0,0,0,0,5번
14,유강남,롯데,0.0,9,0,0,0,0,0,1,0,5,0,5번
14,정보근,롯데,0.0,1,0,0,0,0,0,0,0,0,0,5번
14,황성빈,롯데,0.0,1,0,0,0,0,0,0,0,0,0,5번
1,한동희,롯데,1.0,3,3,2,0,0,2,1,0,0,0,6번
2,고승민,롯데,0.636,11,7,2,1,0,5,0,0,0,0,6번
3,전준우,롯데,0.391,23,9,3,0,1,9,3,0,4,0,6번
4,손호영,롯데,0.38,71,27,8,1,3,18,1,1,13,0,6번
5,이정훈,롯데,0.355,31,11,3,0,0,5,3,0,6,2,6번
6,이학주,롯데,0.353,17,6,0,1,0,0,1,2,5,0,6번
7,박승욱,롯데,0.333,24,8,2,0,1,5,2,1,6,0,6번
7,이주찬,롯데,0.333,6,2,0,0,1,1,0,0,1,1,6번
9,정훈,롯데,0.283,53,15,5,0,2,9,7,0,12,1,6번
10,나승엽,롯데,0.27,126,34,7,1,4,21,24,4,26,1,6번
