순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,유강남,lotte,포수,50,324.2,0.52,5.72
2,박승욱,lotte,유격수,78,579.2,0.475,5.22
3,최항,lotte,2루수,42,216.1,0.46,5.06
4,신윤후,lotte,우익수,13,62.0,0.447,4.92
5,손성빈,lotte,포수,63,324.0,0.4,4.4
6,황성빈,lotte,좌익수,36,145.2,0.346,3.8
7,김동혁,lotte,중견수,19,42.0,0.206,2.27
8,노진혁,lotte,3루수,16,86.2,0.153,1.68
9,장두성,lotte,중견수,17,41.2,0.115,1.27
10,윤동희,lotte,중견수,56,442.2,0.111,1.22
11,정보근,lotte,포수,63,272.0,0.086,0.95
12,정대선,lotte,2루수,2,4.0,0.076,0.83
13,손호영,lotte,2루수,20,110.1,0.067,0.73
14,이주찬,lotte,유격수,3,5.0,0.062,0.69
15,오선진,lotte,3루수,14,41.2,0.059,0.65
16,김민성,lotte,2루수,3,12.0,0.056,0.61
17,황성빈,lotte,우익수,2,4.0,0.036,0.39
18,고승민,lotte,우익수,6,31.0,0.03,0.33
18,오선진,lotte,유격수,1,2.0,0.03,0.33
20,레이예스,lotte,중견수,1,2.0,0.021,0.23
21,박승욱,lotte,2루수,18,54.0,0.018,0.2
22,고승민,lotte,좌익수,13,86.0,0.015,0.17
23,오선진,lotte,2루수,4,17.0,0.008,0.09
24,장두성,lotte,우익수,13,22.1,0.005,0.05
25,이학주,lotte,3루수,3,5.2,0.001,0.01
26,김민석,lotte,좌익수,21,127.2,0.0,0.0
27,정훈,lotte,좌익수,2,3.0,-0.001,-0.01
28,정훈,lotte,2루수,2,3.0,-0.009,-0.1
29,김동혁,lotte,우익수,4,7.2,-0.011,-0.12
30,김민성,lotte,3루수,29,162.1,-0.012,-0.13
31,이정훈,lotte,좌익수,1,2.0,-0.014,-0.15
32,이호준,lotte,2루수,2,3.0,-0.026,-0.29
33,장두성,lotte,좌익수,5,15.0,-0.05,-0.55
34,고승민,lotte,1루수,5,11.0,-0.052,-0.57
35,최항,lotte,1루수,10,21.1,-0.054,-0.59
36,고승민,lotte,2루수,68,537.0,-0.059,-0.65
37,김민석,lotte,중견수,3,23.1,-0.069,-0.76
38,서동욱,lotte,포수,11,35.0,-0.077,-0.84
39,정훈,lotte,3루수,13,70.1,-0.085,-0.93
40,노진혁,lotte,유격수,20,90.2,-0.099,-1.09
41,최항,lotte,3루수,16,58.0,-0.109,-1.2
42,노진혁,lotte,1루수,6,21.0,-0.133,-1.46
43,손호영,lotte,유격수,6,39.0,-0.264,-2.9
44,레이예스,lotte,우익수,53,424.2,-0.283,-3.11
45,한동희,lotte,3루수,6,32.1,-0.297,-3.26
46,정훈,lotte,1루수,31,240.0,-0.32,-3.52
47,박승욱,lotte,3루수,27,123.2,-0.346,-3.8
48,전준우,lotte,좌익수,32,258.1,-0.374,-4.11
49,손호영,lotte,3루수,44,329.2,-0.432,-4.75
50,윤동희,lotte,우익수,54,405.0,-0.435,-4.78
51,레이예스,lotte,좌익수,41,315.0,-0.461,-5.07
52,이학주,lotte,유격수,40,238.1,-0.503,-5.53
53,이주찬,lotte,3루수,10,46.1,-0.534,-5.87
54,황성빈,lotte,중견수,57,401.1,-0.772,-8.48
55,나승엽,lotte,1루수,80,663.1,-1.607,-17.65
67,김상수,lotte,투수,57,56.0,nan,nan
67,김강현,lotte,투수,13,13.2,nan,nan
67,이호준,lotte,유격수,1,1.0,nan,nan
67,추재현,lotte,좌익수,2,3.0,nan,nan
67,이선우,lotte,중견수,2,2.2,nan,nan
67,김원중,lotte,투수,41,45.1,nan,nan
67,이정훈,lotte,포수,1,1.0,nan,nan
67,강성우,lotte,유격수,1,1.0,nan,nan
67,신윤후,lotte,중견수,1,1.0,nan,nan
67,현도훈,lotte,투수,6,9.0,nan,nan
67,이선우,lotte,좌익수,1,1.0,nan,nan
