순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,강성우,롯데,0.500,2,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.500,1.000,0,0.0,0.0
2,레이예스,롯데,0.360,97,423,386,58,139,26,2,10,199,80,0,7,29,0,1,58,10,0.516,0.400,0.916,41,0.421,0.0
3,나승엽,롯데,0.312,74,296,250,39,78,22,4,5,123,40,0,3,41,0,2,55,2,0.492,0.409,0.901,20,0.337,0.333
4,이정훈,롯데,0.309,44,95,81,10,25,7,0,0,32,17,1,2,11,1,0,18,3,0.395,0.383,0.778,4,0.367,0.25
5,황성빈,롯데,0.307,82,258,231,64,71,5,4,4,96,17,5,1,19,0,2,34,2,0.416,0.364,0.780,21,0.244,0.0
6,손호영,롯데,0.303,55,220,201,34,61,14,2,8,103,39,1,1,12,1,5,35,3,0.512,0.356,0.868,19,0.338,0.0
7,고승민,롯데,0.299,73,319,284,51,85,18,2,7,128,51,0,5,29,0,1,50,5,0.451,0.361,0.812,22,0.356,1.0
8,윤동희,롯데,0.295,94,410,359,68,106,24,3,6,154,48,2,3,44,0,2,70,7,0.429,0.373,0.802,29,0.326,0.333
9,전준우,롯데,0.282,62,277,245,32,69,15,1,11,119,46,1,1,27,0,3,43,8,0.486,0.359,0.845,20,0.217,0.0
10,박승욱,롯데,0.266,95,304,263,34,70,15,1,4,99,37,2,3,29,2,7,80,4,0.376,0.351,0.727,18,0.259,0.0
11,이학주,롯데,0.263,43,105,95,13,25,2,2,2,37,4,2,0,6,0,2,44,0,0.389,0.320,0.709,6,0.15,0.0
12,한동희,롯데,0.257,14,36,35,1,9,2,0,0,11,3,0,0,1,1,0,9,1,0.314,0.278,0.592,1,0.182,0.333
13,정훈,롯데,0.255,69,231,204,23,52,13,0,8,89,36,1,2,24,0,0,42,2,0.436,0.330,0.766,14,0.279,0.083
14,최항,롯데,0.248,64,140,129,15,32,3,1,0,37,12,0,0,10,0,1,31,3,0.287,0.307,0.594,7,0.239,0.25
15,정보근,롯데,0.231,52,96,91,6,21,0,1,2,29,5,3,0,2,0,0,21,3,0.319,0.247,0.566,2,0.2,0.0
16,김민석,롯데,0.203,34,80,74,10,15,3,1,0,20,6,1,0,2,0,3,19,4,0.270,0.253,0.523,2,0.3,0.143
17,김동혁,롯데,0.200,31,17,15,6,3,0,1,0,5,1,0,0,2,0,0,5,0,0.333,0.294,0.627,0,0.333,0.0
17,김민성,롯데,0.200,35,84,70,6,14,5,0,2,25,8,0,1,10,0,3,18,1,0.357,0.321,0.678,1,0.2,0.429
17,장두성,롯데,0.200,33,25,20,12,4,0,0,0,4,1,0,0,3,0,2,5,0,0.200,0.360,0.560,0,0.25,0.0
20,유강남,롯데,0.191,52,155,136,11,26,3,0,5,44,20,2,1,9,0,7,25,4,0.324,0.275,0.599,5,0.234,0.0
21,오선진,롯데,0.188,18,23,16,0,3,1,0,0,4,0,3,0,2,0,2,7,0,0.250,0.350,0.600,0,0.2,0.0
22,노진혁,롯데,0.183,42,96,82,6,15,3,0,0,18,9,1,2,10,0,1,22,1,0.220,0.274,0.494,1,0.2,0.222
23,손성빈,롯데,0.183,52,101,93,15,17,3,2,3,33,8,0,0,7,0,1,24,3,0.355,0.248,0.603,3,0.115,0.0
24,이주찬,롯데,0.174,14,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0.348,0.208,0.556,0,0.25,0.5
25,서동욱,롯데,0.143,12,15,14,1,2,1,0,0,3,0,0,0,0,0,1,4,0,0.214,0.200,0.414,0,0.0,1.0
25,신윤후,롯데,0.143,16,24,21,3,3,0,0,0,3,1,1,0,1,0,1,3,1,0.143,0.217,0.360,0,0.2,0.0
27,김원중,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,백두산,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
27,이선우,롯데,-,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이호준,롯데,-,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-,1.000,1.000,0,0.0,0.0
27,정대선,롯데,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
27,추재현,롯데,-,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
