순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,강성우,롯데,0.500,0,0,1,0.00,0,-,2.00,0.000,0.1,0.35
2,레이예스,롯데,0.347,39,120,95,1.26,9,0.52,3.80,0.148,74.0,0.299
3,손호영,롯데,0.322,29,57,59,0.97,3,0.29,3.28,0.230,42.4,0.303
4,황성빈,롯데,0.316,14,79,56,1.41,1,0.60,3.76,0.105,43.7,0.273
5,고승민,롯데,0.311,31,79,89,0.89,4,0.56,3.97,0.165,53.2,0.285
6,나승엽,롯데,0.309,32,65,70,0.93,5,0.79,4.11,0.167,53.9,0.304
7,이정훈,롯데,0.309,7,25,15,1.67,1,0.61,4.13,0.086,12.2,0.271
8,윤동희,롯데,0.294,37,101,98,1.03,3,0.64,4.23,0.146,62.3,0.278
9,전준우,롯데,0.285,29,70,77,0.91,2,0.53,3.75,0.190,43.8,0.277
10,정훈,롯데,0.265,24,59,62,0.95,4,0.65,3.97,0.192,35.7,0.269
11,이학주,롯데,0.263,6,9,17,0.53,0,0.14,4.19,0.126,11.7,0.241
12,박승욱,롯데,0.259,22,65,62,1.05,4,0.38,3.92,0.115,38.0,0.25
13,한동희,롯데,0.257,2,6,11,0.55,1,0.11,3.56,0.057,2.4,0.204
14,최항,롯데,0.250,4,36,31,1.16,2,0.31,4.09,0.038,10.8,0.211
15,정보근,롯데,0.212,3,27,26,1.04,0,0.08,3.53,0.081,4.3,0.176
16,김민석,롯데,0.211,4,21,19,1.11,1,0.10,3.46,0.066,3.9,0.186
17,장두성,롯데,0.208,0,9,4,2.25,0,0.50,3.55,0.000,2.9,0.207
18,노진혁,롯데,0.205,4,21,28,0.75,0,0.48,3.94,0.068,8.5,0.201
19,김동혁,롯데,0.200,1,5,2,2.50,0,0.40,4.06,0.133,1.8,0.216
19,김민성,롯데,0.200,7,12,27,0.44,1,0.56,4.20,0.157,8.9,0.234
21,손성빈,롯데,0.196,11,29,32,0.91,1,0.31,4.24,0.215,11.5,0.218
22,유강남,롯데,0.191,8,50,36,1.39,0,0.36,3.84,0.132,12.7,0.205
23,오선진,롯데,0.188,1,3,3,1.00,0,0.29,3.70,0.063,2.0,0.22
24,이주찬,롯데,0.174,2,7,3,2.33,1,0.11,3.75,0.174,1.3,0.181
25,서동욱,롯데,0.143,1,2,6,0.33,0,0.00,3.80,0.071,0.4,0.144
25,신윤후,롯데,0.143,0,5,10,0.50,1,0.33,4.20,0.000,0.5,0.148
27,김강현,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김상수,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김원중,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,백두산,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.0
27,이선우,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이호준,롯데,-,0,0,0,-,0,-,6.00,-,0.3,0.45
27,정대선,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.2,0.0
27,추재현,롯데,-,0,0,0,-,0,-,-,-,0.2,0.0
27,현도훈,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
