순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,이재현,samsung,유격수,107,862.1,1.529,16.74
2,강민호,samsung,포수,120,803.0,1.181,12.93
3,김영웅,samsung,유격수,38,304.2,0.785,8.59
4,김지찬,samsung,중견수,117,859.0,0.489,5.35
5,전병우,samsung,3루수,48,267.1,0.386,4.22
6,김현준,samsung,우익수,40,218.1,0.359,3.93
7,이성규,samsung,우익수,51,294.1,0.293,3.2
8,김동진,samsung,2루수,23,91.0,0.261,2.85
9,강한울,samsung,3루수,9,41.0,0.245,2.68
10,이병헌,samsung,포수,90,421.2,0.234,2.56
11,디아즈,samsung,1루수,18,151.0,0.206,2.26
12,김호진,samsung,3루수,12,47.0,0.203,2.22
13,김재혁,samsung,좌익수,5,23.0,0.197,2.16
14,윤정빈,samsung,우익수,49,285.1,0.193,2.11
15,김영웅,samsung,3루수,87,639.1,0.171,1.87
16,김태훈,samsung,우익수,4,20.0,0.163,1.78
17,양우현,samsung,2루수,5,32.0,0.154,1.69
18,양도근,samsung,유격수,8,29.0,0.14,1.54
19,김재상,samsung,2루수,32,205.1,0.135,1.47
20,안주형,samsung,3루수,2,3.0,0.112,1.22
21,김성윤,samsung,우익수,11,63.1,0.105,1.15
22,류승민,samsung,우익수,4,7.0,0.088,0.97
23,김성윤,samsung,중견수,24,105.1,0.085,0.93
24,이창용,samsung,1루수,6,37.0,0.072,0.79
25,윤정빈,samsung,1루수,7,31.0,0.07,0.76
26,김영웅,samsung,2루수,7,35.0,0.068,0.75
27,전병우,samsung,1루수,3,18.0,0.059,0.65
27,김재혁,samsung,1루수,4,31.0,0.059,0.64
29,김헌곤,samsung,우익수,48,300.1,0.048,0.53
30,김재상,samsung,3루수,2,3.0,0.042,0.46
31,김헌곤,samsung,좌익수,65,305.0,0.034,0.38
32,구자욱,samsung,우익수,4,37.1,0.026,0.29
32,공민규,samsung,1루수,2,5.0,0.026,0.28
34,류지혁,samsung,2루수,74,461.0,0.018,0.19
35,양우현,samsung,3루수,1,2.0,0.015,0.16
36,김민수,samsung,포수,8,23.0,0.001,0.01
37,카데나스,samsung,좌익수,1,1.0,-0.001,-0.01
38,류지혁,samsung,3루수,28,179.1,-0.004,-0.04
39,윤정빈,samsung,좌익수,7,31.2,-0.023,-0.25
40,김도환,samsung,포수,1,6.0,-0.032,-0.35
41,김동진,samsung,3루수,6,25.0,-0.038,-0.42
42,김호진,samsung,2루수,2,6.0,-0.04,-0.44
43,전병우,samsung,2루수,2,7.0,-0.047,-0.52
44,박병호,samsung,1루수,31,248.2,-0.049,-0.53
45,김호진,samsung,유격수,9,26.0,-0.05,-0.54
46,맥키넌,samsung,1루수,50,423.1,-0.055,-0.6
47,김지찬,samsung,2루수,10,14.0,-0.058,-0.64
48,양도근,samsung,2루수,9,46.0,-0.06,-0.66
49,류지혁,samsung,1루수,13,44.2,-0.08,-0.88
50,김태훈,samsung,좌익수,3,11.2,-0.082,-0.89
51,김재성,samsung,포수,7,29.0,-0.089,-0.97
52,안주형,samsung,유격수,14,56.2,-0.09,-0.99
53,김재성,samsung,1루수,1,5.0,-0.094,-1.02
54,김현준,samsung,중견수,33,130.1,-0.099,-1.08
55,오재일,samsung,1루수,12,84.2,-0.102,-1.12
56,이창용,samsung,3루수,1,4.0,-0.108,-1.18
57,이성규,samsung,1루수,39,201.1,-0.109,-1.19
58,카데나스,samsung,우익수,5,33.2,-0.112,-1.22
59,김현준,samsung,좌익수,9,50.1,-0.116,-1.27
60,김재혁,samsung,우익수,11,23.0,-0.122,-1.33
61,김재혁,samsung,중견수,11,27.0,-0.137,-1.5
62,김헌곤,samsung,중견수,5,16.0,-0.138,-1.51
63,이성규,samsung,좌익수,10,50.0,-0.14,-1.53
64,공민규,samsung,3루수,9,33.0,-0.142,-1.55
65,안주형,samsung,2루수,73,360.1,-0.143,-1.57
66,맥키넌,samsung,3루수,6,36.2,-0.175,-1.91
67,김성윤,samsung,좌익수,1,8.0,-0.179,-1.96
68,강한울,samsung,2루수,8,25.0,-0.19,-2.08
69,이성규,samsung,중견수,27,145.0,-0.264,-2.89
70,구자욱,samsung,좌익수,100,802.0,-0.351,-3.84
84,오승환,samsung,투수,58,55.0,nan,nan
84,강한울,samsung,1루수,1,1.0,nan,nan
84,육선엽,samsung,투수,11,17.0,nan,nan
84,김대우,samsung,투수,30,34.1,nan,nan
84,강한울,samsung,유격수,3,3.0,nan,nan
84,양도근,samsung,3루수,1,2.0,nan,nan
84,최지광,samsung,투수,34,36.1,nan,nan
84,김호진,samsung,1루수,1,1.0,nan,nan
84,카데나스,samsung,중견수,1,0.0,nan,nan
84,김태훈,samsung,투수,56,52.1,nan,nan
84,김재윤,samsung,투수,65,66.0,nan,nan
84,김재상,samsung,유격수,1,1.0,nan,nan
84,이상민,samsung,투수,36,30.0,nan,nan
