순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김민수,삼성,1.000,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,4.000,1.000,5.000,0,1.0,0.0
2,카데나스,삼성,0.333,7,25,24,2,8,2,0,2,16,5,0,0,1,0,0,6,1,0.667,0.360,1.027,3,0.429,0.0
3,디아즈,삼성,0.321,8,31,28,6,9,1,0,3,19,7,0,0,1,0,2,7,1,0.679,0.387,1.066,2,0.125,0.0
4,구자욱,삼성,0.318,110,485,425,69,135,35,1,22,238,84,2,5,43,2,10,64,5,0.560,0.389,0.949,40,0.324,0.0
5,윤정빈,삼성,0.313,51,149,128,21,40,4,1,5,61,18,0,2,16,0,3,37,0,0.477,0.396,0.873,12,0.25,0.385
6,김지찬,삼성,0.311,119,467,396,85,123,15,0,3,147,27,12,1,49,2,9,35,5,0.371,0.398,0.769,32,0.218,0.357
7,강민호,삼성,0.307,119,402,355,43,109,15,1,17,177,72,0,5,35,2,7,46,15,0.499,0.376,0.875,28,0.28,0.211
8,맥키넌,삼성,0.294,72,315,272,28,80,13,0,4,105,36,0,3,39,3,1,33,6,0.386,0.381,0.767,24,0.27,0.0
9,김헌곤,삼성,0.289,98,266,242,35,70,7,0,8,101,27,3,0,18,0,3,43,4,0.417,0.346,0.763,15,0.286,0.333
10,이재현,삼성,0.263,91,377,327,56,86,16,0,13,141,54,0,3,42,1,5,70,7,0.431,0.353,0.784,23,0.326,0.25
11,류지혁,삼성,0.257,87,313,272,38,70,8,1,3,89,35,5,2,29,0,5,65,4,0.327,0.338,0.665,18,0.284,0.2
12,김영웅,삼성,0.257,116,472,424,61,109,15,3,25,205,72,1,4,40,0,3,147,2,0.483,0.323,0.806,25,0.315,0.0
13,이성규,삼성,0.255,107,321,271,53,69,10,1,20,141,53,4,3,28,0,15,95,4,0.520,0.353,0.873,15,0.288,0.222
14,이병헌,삼성,0.248,80,133,117,6,29,4,0,1,36,8,1,0,13,0,2,41,0,0.308,0.333,0.641,6,0.138,0.2
15,김재상,삼성,0.238,35,91,84,13,20,4,0,2,30,12,1,1,5,0,0,23,0,0.357,0.278,0.635,4,0.222,0.25
16,안주형,삼성,0.233,68,137,116,22,27,2,0,0,29,8,9,0,11,0,1,32,3,0.250,0.305,0.555,4,0.261,0.0
17,김현준,삼성,0.230,62,185,165,20,38,10,1,0,50,11,4,3,9,0,4,44,4,0.303,0.282,0.585,8,0.231,0.4
18,박병호,삼성,0.224,100,325,272,37,61,7,0,14,110,45,0,1,45,0,7,99,13,0.404,0.348,0.752,11,0.238,0.286
19,김성윤,삼성,0.222,28,77,63,13,14,2,0,0,16,6,3,2,8,0,1,15,1,0.254,0.311,0.565,3,0.3,0.333
19,김태훈,삼성,0.222,10,19,18,2,4,1,0,0,5,1,0,0,0,0,1,3,1,0.278,0.263,0.541,1,0.2,0.4
21,김재성,삼성,0.200,10,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0.250,0.304,0.554,1,0.333,0.0
22,전병우,삼성,0.194,40,83,72,8,14,3,0,0,17,5,0,1,9,0,1,28,2,0.236,0.289,0.525,1,0.222,0.0
23,김재혁,삼성,0.159,28,49,44,6,7,2,1,0,11,6,0,2,3,0,0,19,2,0.250,0.204,0.454,2,0.095,0.0
