순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김민수,삼성,1.000,1,0,0,-,0,-,1.00,3.000,1.4,1.45
2,카데나스,삼성,0.333,4,5,5,1.00,1,0.17,4.04,0.333,4.5,0.329
3,구자욱,삼성,0.322,56,112,110,1.02,9,0.67,3.83,0.246,86.7,0.319
4,김지찬,삼성,0.316,18,131,100,1.31,3,1.38,3.75,0.062,65.6,0.275
5,디아즈,삼성,0.313,2,4,4,1.00,0,0.00,3.69,0.250,2.3,0.282
6,강민호,삼성,0.308,31,105,95,1.11,9,0.81,3.47,0.186,60.5,0.293
7,윤정빈,삼성,0.306,9,27,24,1.13,2,0.43,4.19,0.165,22.6,0.293
8,맥키넌,삼성,0.294,17,55,107,0.51,3,1.18,3.71,0.092,41.5,0.268
9,김헌곤,삼성,0.292,15,61,64,0.95,2,0.43,4.19,0.131,33.9,0.264
10,이재현,삼성,0.268,29,71,94,0.76,4,0.57,4.23,0.175,50.3,0.27
11,김영웅,삼성,0.262,43,75,94,0.80,8,0.28,3.76,0.233,70.0,0.271
12,류지혁,삼성,0.259,12,81,56,1.45,3,0.47,3.94,0.071,33.3,0.236
13,이병헌,삼성,0.257,5,22,22,1.00,0,0.33,4.05,0.062,13.6,0.235
14,이성규,삼성,0.255,31,43,67,0.64,5,0.29,4.01,0.266,52.5,0.289
15,안주형,삼성,0.243,2,33,19,1.74,0,0.38,3.75,0.019,9.3,0.209
16,김재상,삼성,0.238,6,26,16,1.63,0,0.22,3.60,0.119,9.6,0.214
17,김현준,삼성,0.223,10,48,35,1.37,1,0.21,3.79,0.070,13.1,0.198
18,김성윤,삼성,0.222,2,24,12,2.00,1,0.53,3.34,0.032,6.7,0.203
18,김태훈,삼성,0.222,1,6,5,1.20,1,0.00,3.47,0.056,0.9,0.188
20,박병호,삼성,0.221,19,49,57,0.86,5,0.46,4.23,0.174,36.6,0.255
21,김재성,삼성,0.200,1,7,4,1.75,0,0.60,4.00,0.050,1.4,0.199
22,전병우,삼성,0.186,3,12,18,0.67,0,0.32,4.32,0.043,4.5,0.185
23,김재혁,삼성,0.159,3,11,9,1.22,2,0.16,4.04,0.091,1.7,0.154
24,이창용,삼성,0.154,0,5,5,1.00,0,0.00,3.54,0.000,0.0,0.108
25,김동진,삼성,0.125,1,13,8,1.63,0,0.43,3.14,0.094,1.1,0.145
26,김동엽,삼성,0.111,1,7,5,1.40,0,0.20,3.62,0.056,0.7,0.127
27,강한울,삼성,0.095,0,8,6,1.33,0,0.00,3.80,0.000,-0.6,0.065
28,공민규,삼성,0.077,1,1,3,0.33,0,0.13,4.19,0.231,0.9,0.19
29,김호진,삼성,0.074,0,8,8,1.00,0,0.10,3.13,0.000,-0.7,0.078
30,김대우,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
30,김도환,삼성,0.000,0,0,2,0.00,0,0.00,4.33,0.000,-0.3,0.0
30,김재윤,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
30,김태훈,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
30,류승민,삼성,0.000,0,0,0,-,0,2.00,5.67,0.000,0.6,0.3
30,양우현,삼성,0.000,0,4,2,2.00,0,0.20,3.77,0.000,-1.0,0.037
30,오승환,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
30,육선엽,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
30,이상민,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
30,최지광,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
