순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,전다민,두산,0.353,1,4,1,4.00,0,1.00,4.70,0.059,4.4,0.338
2,양의지,두산,0.342,24,67,109,0.61,11,0.68,3.70,0.155,57.1,0.3
3,허경민,두산,0.340,24,80,95,0.84,4,1.28,3.73,0.126,53.1,0.299
4,홍성호,두산,0.333,2,1,2,0.50,0,0.20,3.54,0.167,2.2,0.298
5,라모스,두산,0.308,30,73,85,0.86,6,0.49,3.73,0.177,51.8,0.285
6,강승호,두산,0.286,43,57,91,0.63,8,0.21,3.77,0.212,57.4,0.274
7,서예일,두산,0.286,0,3,4,0.75,0,0.00,4.29,0.000,1.1,0.2
8,정수빈,두산,0.279,18,105,91,1.15,2,0.98,4.01,0.084,52.5,0.255
9,전민재,두산,0.276,7,41,34,1.21,1,0.26,3.45,0.076,14.5,0.23
10,조수행,두산,0.275,4,82,43,1.91,0,0.74,3.63,0.028,30.9,0.23
11,이유찬,두산,0.275,4,20,30,0.67,0,0.54,4.04,0.059,12.4,0.246
12,김재환,두산,0.265,36,46,79,0.58,5,0.34,4.16,0.224,54.6,0.278
13,김기연,두산,0.262,8,36,47,0.77,1,0.52,3.73,0.099,16.3,0.237
14,김재호,두산,0.250,4,12,21,0.57,1,0.90,4.01,0.071,7.1,0.241
14,양석환,두산,0.250,39,62,117,0.53,7,0.41,3.99,0.233,50.5,0.264
14,윤준호,두산,0.250,0,1,1,1.00,0,0.00,4.50,0.000,0.2,0.175
17,박준영,두산,0.232,14,26,46,0.57,1,0.38,4.39,0.168,22.0,0.245
18,김민혁,두산,0.200,1,0,1,0.00,0,1.00,5.25,0.600,2.1,0.425
18,박계범,두산,0.200,1,3,2,1.50,0,0.71,4.70,0.067,1.7,0.247
18,안승한,두산,0.200,0,1,2,0.50,0,0.00,3.80,0.000,0.1,0.14
18,장승현,두산,0.200,2,8,3,2.67,0,0.40,3.70,0.100,1.4,0.198
22,김인태,두산,0.174,1,9,4,2.25,0,0.29,3.38,0.130,1.9,0.18
23,김대한,두산,0.139,2,15,24,0.63,0,0.32,3.90,0.056,4.1,0.156
24,김태근,두산,0.095,0,4,5,0.80,0,0.00,4.13,0.000,-0.4,0.102
25,김동주,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,김호준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,박민준,두산,0.000,0,0,1,0.00,0,-,3.00,0.000,-0.1,0.0
25,박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,양찬열,두산,0.000,0,1,0,-,0,-,2.00,0.000,-0.1,0.0
25,오명진,두산,0.000,0,0,0,-,0,1.00,4.50,0.000,0.2,0.225
25,이교훈,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,최지강,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
