순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1.0,유강남,롯데,포수,50,324.2,0.616,6.63
2.0,최항,롯데,2루수,37,204.1,0.475,5.11
3.0,신윤후,롯데,우익수,12,60.0,0.448,4.82
4.0,황성빈,롯데,좌익수,29,133.0,0.409,4.4
5.0,김동혁,롯데,중견수,19,42.0,0.199,2.14
6.0,노진혁,롯데,3루수,12,74.0,0.18,1.94
7.0,정보근,롯데,포수,41,197.1,0.101,1.09
8.0,장두성,롯데,중견수,6,16.0,0.086,0.92
9.0,손성빈,롯데,포수,41,201.0,0.085,0.92
10.0,정대선,롯데,2루수,2,4.0,0.082,0.88
11.0,장두성,롯데,우익수,8,12.2,0.069,0.75
12.0,오선진,롯데,3루수,14,41.2,0.063,0.68
13.0,이주찬,롯데,유격수,3,5.0,0.062,0.67
14.0,손호영,롯데,2루수,18,108.1,0.061,0.66
15.0,김민성,롯데,2루수,3,12.0,0.057,0.61
16.0,김민석,롯데,좌익수,19,122.0,0.045,0.48
17.0,황성빈,롯데,우익수,2,4.0,0.036,0.38
18.0,오선진,롯데,유격수,1,2.0,0.03,0.32
19.0,고승민,롯데,우익수,6,31.0,0.023,0.25
19.0,박승욱,롯데,2루수,18,54.0,0.023,0.24
21.0,레이예스,롯데,중견수,1,2.0,0.02,0.22
22.0,오선진,롯데,2루수,4,17.0,0.01,0.11
23.0,이학주,롯데,3루수,3,5.2,0.001,0.01
24.0,정훈,롯데,좌익수,1,2.0,-0.001,-0.01
25.0,고승민,롯데,좌익수,13,86.0,-0.003,-0.04
26.0,김민성,롯데,3루수,29,162.1,-0.009,-0.09
26.0,최항,롯데,3루수,5,15.0,-0.009,-0.1
28.0,김동혁,롯데,우익수,4,7.2,-0.012,-0.13
29.0,윤동희,롯데,중견수,47,375.0,-0.029,-0.31
30.0,고승민,롯데,1루수,4,9.0,-0.052,-0.56
31.0,장두성,롯데,좌익수,5,15.0,-0.055,-0.59
32.0,서동욱,롯데,포수,11,35.0,-0.064,-0.69
32.0,노진혁,롯데,유격수,15,80.2,-0.064,-0.69
34.0,김민석,롯데,중견수,3,23.1,-0.076,-0.82
35.0,정훈,롯데,3루수,12,67.1,-0.083,-0.89
36.0,최항,롯데,1루수,9,19.1,-0.098,-1.06
37.0,고승민,롯데,2루수,46,357.1,-0.113,-1.22
38.0,노진혁,롯데,1루수,4,19.0,-0.173,-1.86
39.0,레이예스,롯데,우익수,41,339.2,-0.176,-1.89
39.0,박승욱,롯데,유격수,56,391.0,-0.176,-1.9
41.0,전준우,롯데,좌익수,19,157.1,-0.204,-2.19
42.0,손호영,롯데,유격수,6,39.0,-0.268,-2.89
43.0,한동희,롯데,3루수,6,32.1,-0.299,-3.22
44.0,정훈,롯데,1루수,30,234.0,-0.32,-3.45
45.0,손호영,롯데,3루수,27,189.2,-0.324,-3.48
46.0,박승욱,롯데,3루수,27,123.2,-0.349,-3.75
47.0,황성빈,롯데,중견수,41,296.0,-0.413,-4.45
48.0,윤동희,롯데,우익수,37,303.0,-0.43,-4.63
49.0,레이예스,롯데,좌익수,31,242.2,-0.443,-4.77
50.0,이학주,롯데,유격수,40,238.1,-0.495,-5.32
51.0,이주찬,롯데,3루수,10,46.1,-0.531,-5.72
52.0,나승엽,롯데,1루수,58,476.2,-0.719,-7.74
nan,김원중,롯데,nan,31,35.2,nan,nan
nan,이선우,롯데,중견수,2,2.2,nan,nan
nan,신윤후,롯데,중견수,1,1.0,nan,nan
nan,이호준,롯데,유격수,1,1.0,nan,nan
nan,정훈,롯데,2루수,1,1.0,nan,nan
nan,강성우,롯데,유격수,1,1.0,nan,nan
