순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,구자욱,삼성,0.303,87,386,343,58,104,26,1,19,189,68,0,3,32,2,8,53,3,0.551,0.373,0.924,29,0.287,0.0
2,맥키넌,삼성,0.294,72,315,272,28,80,13,0,4,105,36,0,3,39,3,1,33,6,0.386,0.381,0.767,24,0.27,0.0
3,강민호,삼성,0.293,87,268,232,29,68,7,1,8,101,41,0,4,26,1,6,31,9,0.435,0.373,0.808,15,0.302,0.235
4,김지찬,삼성,0.291,88,334,282,55,82,9,0,3,100,21,8,1,35,1,8,25,3,0.355,0.383,0.738,18,0.237,0.273
5,김헌곤,삼성,0.287,71,179,164,27,47,6,0,8,77,22,1,0,12,0,2,31,3,0.470,0.343,0.813,10,0.304,0.286
6,이재현,삼성,0.282,59,245,213,37,60,13,0,8,97,36,0,2,29,1,1,45,2,0.455,0.367,0.822,17,0.362,0.333
7,류지혁,삼성,0.277,55,204,177,27,49,5,0,2,60,25,2,2,19,0,4,46,3,0.339,0.356,0.695,15,0.302,0.0
8,이병헌,삼성,0.273,64,114,99,5,27,4,0,1,34,6,1,0,12,0,2,35,0,0.343,0.363,0.706,6,0.13,0.333
9,윤정빈,삼성,0.271,26,80,70,8,19,2,0,3,30,8,0,1,7,0,2,22,0,0.429,0.350,0.779,6,0.143,0.167
10,김태훈,삼성,0.267,9,16,15,2,4,1,0,0,5,1,0,0,0,0,1,2,1,0.333,0.313,0.646,1,0.2,0.4
11,김영웅,삼성,0.260,83,349,308,46,80,11,3,17,148,48,1,3,35,0,2,99,2,0.481,0.336,0.817,20,0.303,0.0
12,이성규,삼성,0.252,84,236,202,33,51,6,1,14,101,41,4,2,18,0,10,65,2,0.500,0.341,0.841,10,0.319,0.235
13,김재상,삼성,0.238,35,91,84,13,20,4,0,2,30,12,1,1,5,0,0,23,0,0.357,0.278,0.635,4,0.222,0.25
14,김성윤,삼성,0.222,28,77,63,13,14,2,0,0,16,6,3,2,8,0,1,15,1,0.254,0.311,0.565,3,0.3,0.333
14,안주형,삼성,0.222,40,85,72,12,16,2,0,0,18,4,6,0,6,0,1,16,2,0.250,0.291,0.541,3,0.25,0.0
16,전병우,삼성,0.212,29,63,52,6,11,3,0,0,14,5,0,1,9,0,1,21,2,0.269,0.333,0.602,1,0.308,0.0
17,박병호,삼성,0.206,79,253,209,28,43,5,0,9,75,27,0,0,37,0,7,80,11,0.359,0.344,0.703,8,0.177,0.2
18,김재성,삼성,0.200,10,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0.250,0.304,0.554,1,0.333,0.0
19,김동엽,삼성,0.182,6,14,11,1,2,1,0,0,3,2,0,1,1,1,1,5,0,0.273,0.286,0.559,1,0.0,0.0
20,김재혁,삼성,0.159,27,49,44,6,7,2,1,0,11,6,0,2,3,0,0,19,2,0.250,0.204,0.454,2,0.095,0.0
21,김현준,삼성,0.154,32,89,78,9,12,6,1,0,20,6,1,2,6,0,2,25,4,0.256,0.227,0.483,2,0.125,0.4
21,이창용,삼성,0.154,5,13,13,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0.154,0.154,0.308,0,0.143,0.0
23,김동진,삼성,0.125,26,37,32,5,4,0,0,1,7,2,2,0,3,0,0,7,1,0.219,0.200,0.419,0,0.333,0.25
24,강한울,삼성,0.095,18,25,21,1,2,0,0,0,2,1,3,1,0,0,0,6,1,0.095,0.091,0.186,0,0.167,0.0
25,김호진,삼성,0.080,22,28,25,2,2,0,0,0,2,3,0,1,1,0,1,10,1,0.080,0.143,0.223,0,0.125,0.0
26,공민규,삼성,0.077,11,16,13,1,1,0,0,1,4,2,0,0,1,0,2,8,1,0.308,0.250,0.558,0,0.0,0.0
27,김대우,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김재윤,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김태훈,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,류승민,삼성,0.000,5,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0.000,0.667,0.667,0,0.0,0.0
27,양우현,삼성,0.000,4,13,11,0,0,0,0,0,0,1,1,0,1,0,0,5,1,0.000,0.083,0.083,0,0.0,0.0
27,오승환,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,육선엽,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이상민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,최지광,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
