순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1.0,김혜성,키움,2루수,72,615.2,0.995,10.71
2.0,송성문,키움,3루수,60,450.2,0.89,9.57
3.0,김태진,키움,유격수,19,131.0,0.706,7.6
4.0,김재현,키움,포수,73,516.1,0.456,4.91
5.0,송성문,키움,2루수,12,95.2,0.368,3.96
6.0,김휘집,키움,유격수,44,338.1,0.346,3.72
7.0,변상권,키움,우익수,9,51.2,0.277,2.99
8.0,김건희,키움,포수,33,189.1,0.229,2.46
9.0,변상권,키움,좌익수,14,93.0,0.151,1.62
9.0,김태진,키움,좌익수,8,35.0,0.151,1.62
11.0,고영우,키움,2루수,8,40.0,0.144,1.55
12.0,이주형,키움,중견수,8,44.2,0.109,1.18
13.0,이용규,키움,우익수,13,94.0,0.102,1.1
14.0,도슨,키움,좌익수,53,410.2,0.099,1.07
15.0,김주형,키움,유격수,12,41.0,0.084,0.9
16.0,김시앙,키움,포수,6,19.1,0.064,0.69
17.0,주성원,키움,좌익수,2,16.0,0.054,0.58
18.0,원성준,키움,좌익수,2,5.0,0.053,0.57
19.0,김태진,키움,2루수,6,19.0,0.044,0.48
20.0,임병욱,키움,우익수,4,11.0,0.041,0.44
21.0,이주형,키움,우익수,35,268.1,0.04,0.43
22.0,박성빈,키움,포수,6,27.0,0.039,0.42
23.0,김휘집,키움,3루수,9,53.0,0.035,0.38
24.0,주성원,키움,우익수,14,76.0,0.023,0.25
25.0,김주형,키움,2루수,2,3.0,0.009,0.1
26.0,이용규,키움,좌익수,18,141.2,-0.002,-0.02
27.0,송지후,키움,2루수,1,3.0,-0.005,-0.05
28.0,이승원,키움,유격수,2,9.0,-0.021,-0.23
29.0,김태진,키움,우익수,2,6.0,-0.031,-0.33
30.0,예진원,키움,좌익수,6,19.0,-0.047,-0.5
31.0,임병욱,키움,중견수,16,83.0,-0.053,-0.58
32.0,임병욱,키움,좌익수,1,9.0,-0.059,-0.64
33.0,이형종,키움,우익수,23,175.2,-0.084,-0.91
34.0,이용규,키움,중견수,16,91.0,-0.091,-0.98
35.0,박수종,키움,좌익수,4,4.0,-0.094,-1.01
36.0,박수종,키움,중견수,33,159.2,-0.124,-1.33
37.0,고영우,키움,유격수,14,67.0,-0.126,-1.36
38.0,박수종,키움,우익수,7,12.0,-0.13,-1.4
39.0,박준형,키움,포수,4,12.1,-0.143,-1.54
40.0,도슨,키움,중견수,25,185.2,-0.145,-1.56
41.0,임지열,키움,좌익수,8,39.0,-0.155,-1.66
42.0,김동헌,키움,포수,2,14.0,-0.162,-1.75
43.0,이주형,키움,좌익수,1,4.0,-0.165,-1.77
44.0,예진원,키움,중견수,11,23.0,-0.211,-2.27
45.0,예진원,키움,우익수,5,16.2,-0.216,-2.32
46.0,장재영,키움,중견수,17,126.1,-0.244,-2.62
47.0,최주환,키움,1루수,73,605.1,-0.265,-2.85
48.0,임지열,키움,우익수,9,66.0,-0.277,-2.98
49.0,이원석,키움,1루수,12,87.0,-0.304,-3.27
50.0,원성준,키움,중견수,10,65.0,-0.333,-3.58
51.0,송성문,키움,1루수,19,86.0,-0.354,-3.81
52.0,이재상,키움,유격수,29,188.0,-0.539,-5.8
53.0,고영우,키움,3루수,42,273.2,-0.574,-6.18
nan,김연주,키움,nan,12,10.1,nan,nan
nan,박주홍,키움,좌익수,2,2.0,nan,nan
nan,문성현,키움,nan,35,32.2,nan,nan
nan,신준우,키움,유격수,1,1.0,nan,nan
nan,주승우,키움,nan,31,28.0,nan,nan
nan,양지율,키움,nan,4,4.2,nan,nan
nan,김윤하,키움,nan,9,20.1,nan,nan
nan,김병휘,키움,2루수,2,2.0,nan,nan
nan,김선기,키움,nan,20,45.0,nan,nan
nan,김주형,키움,3루수,1,1.0,nan,nan
nan,박주홍,키움,우익수,1,1.0,nan,nan
nan,김재웅,키움,nan,26,23.2,nan,nan
nan,김병휘,키움,유격수,2,3.0,nan,nan
