순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,이상혁,한화,0.333,13,3,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.666,0,0.0,0.5
2,황영묵,한화,0.317,70,236,218,34,69,7,2,3,89,28,1,1,14,0,2,32,3,0.408,0.362,0.770,18,0.344,0.0
3,페라자,한화,0.312,71,315,276,54,86,20,0,17,157,53,0,2,36,4,1,70,4,0.569,0.390,0.959,27,0.364,0.5
4,이재원,한화,0.309,36,77,68,4,21,2,0,0,23,8,1,1,5,1,2,12,2,0.338,0.368,0.706,5,0.4,0.0
5,김태연,한화,0.297,74,274,236,34,70,15,0,8,109,40,3,2,30,0,3,50,4,0.462,0.380,0.842,19,0.288,0.0
6,안치홍,한화,0.296,88,378,334,49,99,13,0,10,142,45,0,3,36,0,5,55,4,0.425,0.370,0.795,31,0.293,0.0
7,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
8,최재훈,한화,0.274,70,224,175,25,48,9,0,1,60,19,4,4,24,0,17,34,6,0.343,0.405,0.748,10,0.24,1.0
9,이도윤,한화,0.271,82,235,207,29,56,4,2,0,64,27,3,3,20,0,2,32,3,0.309,0.336,0.645,14,0.323,0.4
10,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
11,노시환,한화,0.267,82,368,333,54,89,11,1,18,156,60,0,0,32,7,3,81,5,0.468,0.337,0.805,22,0.295,0.0
12,이원석,한화,0.256,47,93,82,15,21,2,1,0,25,9,1,1,9,0,0,22,3,0.305,0.326,0.631,5,0.286,0.0
13,문현빈,한화,0.254,66,192,173,21,44,8,2,4,68,24,1,1,16,0,1,40,7,0.393,0.319,0.712,9,0.263,0.313
14,채은성,한화,0.242,70,289,260,29,63,14,0,8,101,45,0,2,23,1,4,53,6,0.388,0.311,0.699,18,0.265,0.0
15,장진혁,한화,0.242,45,144,124,29,30,5,0,3,44,18,2,1,15,0,2,38,1,0.355,0.331,0.686,5,0.294,0.0
16,김강민,한화,0.233,40,84,73,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.274,0.333,0.607,4,0.2,0.182
17,하주석,한화,0.221,33,87,77,4,17,4,0,0,21,4,2,0,7,0,1,24,0,0.273,0.294,0.567,3,0.231,0.0
18,유로결,한화,0.214,8,16,14,3,3,0,0,0,3,1,0,0,2,0,0,2,1,0.214,0.313,0.527,0,0.167,0.0
19,이진영,한화,0.200,23,63,55,9,11,4,0,0,15,8,0,0,6,0,2,18,1,0.273,0.302,0.575,3,0.294,0.5
20,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
21,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
22,김인환,한화,0.000,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
22,박상원,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
22,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
22,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
22,주현상,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
