순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,이상혁,한화,0.333,0,2,0,-,0,-,2.33,0.000,0.7,0.233
2,황영묵,한화,0.314,12,72,48,1.50,4,0.44,3.69,0.091,29.5,0.263
3,이재원,한화,0.309,2,16,20,0.80,0,0.42,3.22,0.029,8.6,0.25
4,페라자,한화,0.307,37,62,63,0.98,3,0.51,3.94,0.254,56.8,0.314
5,김태연,한화,0.304,24,58,61,0.95,2,0.60,3.91,0.175,43.3,0.293
6,안치홍,한화,0.296,23,83,103,0.81,6,0.65,3.89,0.127,53.9,0.272
7,박상언,한화,0.286,3,6,12,0.50,0,0.75,4.02,0.071,7.4,0.28
8,최재훈,한화,0.271,10,48,51,0.94,0,0.71,4.19,0.068,28.0,0.265
9,이원석,한화,0.271,3,20,21,0.95,0,0.45,3.76,0.047,9.8,0.234
10,이도윤,한화,0.268,6,64,60,1.07,5,0.63,3.81,0.038,23.5,0.226
11,최인호,한화,0.268,14,58,48,1.21,3,0.77,3.96,0.098,25.6,0.251
12,노시환,한화,0.267,30,74,89,0.83,4,0.40,3.90,0.201,51.9,0.269
13,문현빈,한화,0.253,14,46,44,1.05,2,0.39,3.77,0.138,19.3,0.241
14,채은성,한화,0.242,22,60,89,0.67,2,0.43,3.70,0.144,31.6,0.236
15,장진혁,한화,0.240,8,32,26,1.23,1,0.39,4.21,0.112,16.1,0.236
16,하주석,한화,0.228,4,20,17,1.18,0,0.29,3.49,0.051,6.5,0.204
17,김강민,한화,0.224,1,14,24,0.58,0,0.38,3.72,0.039,7.3,0.211
18,유로결,한화,0.214,0,5,4,1.25,0,1.00,3.69,0.000,0.5,0.194
19,이진영,한화,0.200,4,14,12,1.17,0,0.33,4.27,0.073,4.6,0.204
20,정은원,한화,0.172,5,22,15,1.47,0,0.81,4.37,0.125,7.6,0.215
21,김인환,한화,0.167,0,1,2,0.50,0,0.00,4.50,0.000,0.0,0.117
22,임종찬,한화,0.158,5,12,17,0.71,2,0.32,3.66,0.123,3.1,0.183
23,박상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이명기,한화,0.000,0,2,2,1.00,0,0.00,3.63,0.000,-0.6,0.0
23,장규현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
